TreasuryAgencyCode,Notes,GWAagencyName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,a,Acct_Type,Admin_Bureau,MinOfBPOA,MaxOfEPOA,Fund_Type,SP,ATA,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,topFundingAgencyIDtotalamount,totalFPDSandFAADSamount,IsManualOverride
525,NULL,ELECTION ASSISTANCE COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
534,NULL,OFFICE OF THE FEDERAL COORDINATOR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
535,NULL,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2009,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
537,NULL,FEDERAL HOUSING FINANCE AGENCY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2009,2016,GF,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
570,NULL,EISENHOWER EXCHANGE FELLOWSHIP PROGRAM TRUST FUND,NULL,NULL,NULL,NULL,NULL,X,NULL,0,0,0,TF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
571,NULL,NATIONAL RECONNAISSANCE OFFICE,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,DF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
573,NULL,NORTHERN BORDER REGIONAL COMMISSION,NULL,NULL,NULL,NULL,NULL,X,EXPND,0,0,0,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
575,NULL,NATIONAL RAILROAD PASSENGER CORPORATION,NULL,NULL,NULL,NULL,NULL,,EXPND,0,2010,2014,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
579,NULL,PATIENT-CENTERED OUTCOMES RESEARCH,NULL,NULL,NULL,NULL,NULL,,NULL,0,2010,2019,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
580,NULL,CORPORATION FOR TRAVEL PROMOTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2014,SF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
581,NULL,BUREAU OF CONSUMER FINANCIAL PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
584,NULL,INDIAN LAW AND ORDER COMMISSION,NULL,NULL,NULL,NULL,NULL,NULL,EXPND,0,0,2015,GF,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-03-20 09:14:45.1500000,CSIS\GSanders,NULL,NULL,0
