Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
421820: FARM AND GARDEN MACHINERY AND EQUIPMENT WHOLESALERS,421820,FARM AND GARDEN MACHINERY AND EQUIPMENT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
42183: INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,42183,INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421830: INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,421830,INDUSTRIAL MACHINERY AND EQUIPMENT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421840: INDUSTRIAL SUPPLIES WHOLESALERS,421840,INDUSTRIAL SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421850: SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES WHOLESALERS,421850,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421860: TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) WHOLESALERS,421860,TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) WHOLESALERS,NULL,NULL,NULL,NULL,NULL
42191: SPORTING AND RECREATIONAL GOODS AND SUPPLIES WHOLESALERS,42191,SPORTING AND RECREATIONAL GOODS AND SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421910: SPORTING AND RECREATIONAL GOODS AND SUPPLIES WHOLESALERS,421910,SPORTING AND RECREATIONAL GOODS AND SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421920: TOY AND HOBBY GOODS AND SUPPLIES WHOLESALERS,421920,TOY AND HOBBY GOODS AND SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
42193: RECYCLABLE MATERIAL WHOLESALERS,42193,RECYCLABLE MATERIAL WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421930: RECYCLABLE MATERIAL WHOLESALERS,421930,RECYCLABLE MATERIAL WHOLESALERS,NULL,NULL,NULL,NULL,NULL
"421940: JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL WHOLESALERS",421940,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL WHOLESALERS",NULL,NULL,NULL,NULL,NULL
42199: OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,42199,OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
421990: OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,421990,OTHER MISCELLANEOUS DURABLE GOODS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422110: PRINTING AND WRITING PAPER WHOLESALERS,422110,PRINTING AND WRITING PAPER WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422120: STATIONERY AND OFFICE SUPPLIES WHOLESALERS,422120,STATIONERY AND OFFICE SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422130: INDUSTRIAL AND PERSONAL SERVICE PAPER WHOLESALERS,422130,INDUSTRIAL AND PERSONAL SERVICE PAPER WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422210: DRUGS AND DRUGGISTS' SUNDRIES WHOLESALERS,422210,DRUGS AND DRUGGISTS' SUNDRIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
"422310: PIECE GOODS, NOTIONS, AND OTHER DRY GOODS WHOLESALERS",422310,"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS WHOLESALERS",NULL,NULL,NULL,NULL,NULL
422320: MEN'S AND BOYS' CLOTHING AND FURNISHINGS WHOLESALERS,422320,MEN'S AND BOYS' CLOTHING AND FURNISHINGS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
"422330: WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES WHOLESALERS",422330,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES WHOLESALERS",NULL,NULL,NULL,NULL,NULL
422340: FOOTWEAR WHOLESALERS,422340,FOOTWEAR WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422410: GENERAL LINE GROCERY WHOLESALERS,422410,GENERAL LINE GROCERY WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422420: PACKAGED FROZEN FOOD WHOLESALERS,422420,PACKAGED FROZEN FOOD WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422430: DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,422430,DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422440: POULTRY AND POULTRY PRODUCT WHOLESALERS,422440,POULTRY AND POULTRY PRODUCT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422450: CONFECTIONERY WHOLESALERS,422450,CONFECTIONERY WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422460: FISH AND SEAFOOD WHOLESALERS,422460,FISH AND SEAFOOD WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422470: MEAT AND MEAT PRODUCT WHOLESALERS,422470,MEAT AND MEAT PRODUCT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422480: FRESH FRUIT AND VEGETABLE WHOLESALERS,422480,FRESH FRUIT AND VEGETABLE WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422490: OTHER GROCERY AND RELATED PRODUCTS WHOLESALERS,422490,OTHER GROCERY AND RELATED PRODUCTS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422510: GRAIN AND FIELD BEAN WHOLESALERS,422510,GRAIN AND FIELD BEAN WHOLESALERS,NULL,NULL,NULL,NULL,NULL
42252: LIVESTOCK WHOLESALERS,42252,LIVESTOCK WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422520: LIVESTOCK WHOLESALERS,422520,LIVESTOCK WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422590: OTHER FARM PRODUCT RAW MATERIAL WHOLESALERS,422590,OTHER FARM PRODUCT RAW MATERIAL WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422610: PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,422610,PLASTICS MATERIALS AND BASIC FORMS AND SHAPES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
42269: OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,42269,OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422690: OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,422690,OTHER CHEMICAL AND ALLIED PRODUCTS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422710: PETROLEUM BULK STATIONS AND TERMINALS,422710,PETROLEUM BULK STATIONS AND TERMINALS,NULL,NULL,NULL,NULL,NULL
42272: PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),42272,PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),NULL,NULL,NULL,NULL,NULL
422720: PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),422720,PETROLEUM AND PETROLEUM PRODUCTS WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),NULL,NULL,NULL,NULL,NULL
422810: BEER AND ALE WHOLESALERS,422810,BEER AND ALE WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422820: WINE AND DISTILLED ALCOHOLIC BEVERAGE WHOLESALERS,422820,WINE AND DISTILLED ALCOHOLIC BEVERAGE WHOLESALERS,NULL,NULL,NULL,NULL,NULL
422910: FARM SUPPLIES WHOLESALERS,422910,FARM SUPPLIES WHOLESALERS,NULL,NULL,NULL,NULL,NULL
"42292: BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",42292,"BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",NULL,NULL,NULL,NULL,NULL
"422920: BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",422920,"BOOK, PERIODICAL, AND NEWSPAPER WHOLESALERS",NULL,NULL,NULL,NULL,NULL
"422930: FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",422930,"FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES WHOLESALERS",NULL,NULL,NULL,NULL,NULL
422940: TOBACCO AND TOBACCO PRODUCT WHOLESALERS,422940,TOBACCO AND TOBACCO PRODUCT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
"422950: PAINT, VARNISH, AND SUPPLIES WHOLESALERS",422950,"PAINT, VARNISH, AND SUPPLIES WHOLESALERS",NULL,NULL,NULL,NULL,NULL
422990: OTHER MISCELLANEOUS NONDURABLE GOODS WHOLESALERS,422990,OTHER MISCELLANEOUS NONDURABLE GOODS WHOLESALERS,NULL,NULL,NULL,NULL,NULL
423110: AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,423110,AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423120: MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,423120,MOTOR VEHICLE SUPPLIES AND NEW PARTS MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423130: TIRE AND TUBE MERCHANT WHOLESALERS,423130,TIRE AND TUBE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423140: MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,423140,MOTOR VEHICLE PARTS (USED) MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423210: FURNITURE MERCHANT WHOLESALERS,423210,FURNITURE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423220: HOME FURNISHING MERCHANT WHOLESALERS,423220,HOME FURNISHING MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
"423310: LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",423310,"LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
"423320: BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",423320,"BRICK, STONE, AND RELATED CONSTRUCTION MATERIAL MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
"423330: ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",423330,"ROOFING, SIDING, AND INSULATION MATERIAL MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
423390: OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,423390,OTHER CONSTRUCTION MATERIAL MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423410: PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,423410,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423420: OFFICE EQUIPMENT MERCHANT WHOLESALERS,423420,OFFICE EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
42343: COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,42343,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
423430: COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423440: OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,423440,OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
"42345: MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",42345,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",NULL,NULL,NULL,NULL,NULL
"423450: MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
423460: OPHTHALMIC GOODS MERCHANT WHOLESALERS,423460,OPHTHALMIC GOODS MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423490: OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,423490,OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423510: METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,423510,METAL SERVICE CENTERS AND OTHER METAL MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423520: COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,423520,COAL AND OTHER MINERAL AND ORE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
"42361: ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",42361,"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",NULL,NULL,NULL,NULL,NULL
"423610: ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",423610,"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",42,423,Wholesalers,0,0
"423620: HOUSEHOLD APPLIANCES ELECTRONIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",423620,"HOUSEHOLD APPLIANCES ELECTRONIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
423690: OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,423690,OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423710: HARDWARE MERCHANT WHOLESALERS,423710,HARDWARE MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423720: PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,423720,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423730: WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,423730,WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423740: REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,423740,REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
"4238: MACHINERY, EQUIPMENT, AND SUPPLIES MERCHANT WHOLESALERS",4238,"MACHINERY, EQUIPMENT, AND SUPPLIES MERCHANT WHOLESALERS",NULL,NULL,NULL,NULL,NULL
423810: CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,423810,CONSTRUCTION AND MINING (EXCEPT OIL WELL) MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423820: FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,423820,FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423830: INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,423830,INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423840: INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,423840,INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423850: SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,423850,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423860: TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,423860,TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423910: SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,423910,SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423920: TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,423920,TOY AND HOBBY GOODS AND SUPPLIES MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
423930: RECYCLABLE MATERIAL MERCHANT WHOLESALERS,423930,RECYCLABLE MATERIAL MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
"423940: JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",423940,"JEWELRY, WATCH, PRECIOUS STONE, AND PRECIOUS METAL MERCHANT WHOLESALERS",42,423,Wholesalers,0,0
423990: OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,423990,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,42,423,Wholesalers,0,0
424110: PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,424110,PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424120: STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,424120,STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424130: INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,424130,INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424210: DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,424210,DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
"424310: PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",424310,"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS MERCHANT WHOLESALERS",42,424,Wholesalers,0,0
424320: MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,424320,MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
"424330: WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",424330,"WOMEN'S, CHILDREN'S, AND INFANTS' CLOTHING AND ACCESSORIES MERCHANT WHOLESALERS",42,424,Wholesalers,0,0
424340: FOOTWEAR MERCHANT WHOLESALERS,424340,FOOTWEAR MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424410: GENERAL LINE GROCERY MERCHANT WHOLESALERS,424410,GENERAL LINE GROCERY MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424420: PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,424420,PACKAGED FROZEN FOOD MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424430: DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,424430,DAIRY PRODUCT (EXCEPT DRIED OR CANNED) MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424440: POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,424440,POULTRY AND POULTRY PRODUCT MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424450: CONFECTIONERY MERCHANT WHOLESALERS,424450,CONFECTIONERY MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424460: FISH AND SEAFOOD MERCHANT WHOLESALERS,424460,FISH AND SEAFOOD MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424470: MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS,424470,MEAT AND MEAT PRODUCT MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424480: FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,424480,FRESH FRUIT AND VEGETABLE MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424490: OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,424490,OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424510: GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,424510,GRAIN AND FIELD BEAN MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424520: LIVESTOCK MERCHANT WHOLESALERS,424520,LIVESTOCK MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424590: OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,424590,OTHER FARM PRODUCT RAW MATERIAL MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424610: PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,424610,PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424690: OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,424690,OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424710: PETROLEUM BULK STATIONS AND TERMINALS,424710,PETROLEUM BULK STATIONS AND TERMINALS,42,424,Wholesalers,0,0
424720: PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),424720,PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),42,424,Wholesalers,0,0
424810: BEER AND ALE MERCHANT WHOLESALERS,424810,BEER AND ALE MERCHANT WHOLESALERS,NULL,NULL,NULL,NULL,NULL
424820: WINE AND DISTILLED ALCOHOLIC BEVERAGE MERCHANT WHOLESALERS,424820,WINE AND DISTILLED ALCOHOLIC BEVERAGE MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
424910: FARM SUPPLIES MERCHANT WHOLESALERS,424910,FARM SUPPLIES MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
"424920: BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",424920,"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",42,424,Wholesalers,0,0
"424930: FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",424930,"FLOWER, NURSERY STOCK, AND FLORISTS' SUPPLIES MERCHANT WHOLESALERS",42,424,Wholesalers,0,0
424940: TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,424940,TOBACCO AND TOBACCO PRODUCT MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
"424950: PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",424950,"PAINT, VARNISH, AND SUPPLIES MERCHANT WHOLESALERS",42,424,Wholesalers,0,0
424990: OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,424990,OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,42,424,Wholesalers,0,0
42511: BUSINESS TO BUSINESS ELECTRONIC MARKETS,42511,BUSINESS TO BUSINESS ELECTRONIC MARKETS,NULL,NULL,NULL,NULL,NULL
425110: BUSINESS TO BUSINESS ELECTRONIC MARKETS,425110,BUSINESS TO BUSINESS ELECTRONIC MARKETS,42,425,Wholesalers,0,0
425120: WHOLESALE TRADE AGENTS AND BROKERS,425120,WHOLESALE TRADE AGENTS AND BROKERS,NULL,NULL,NULL,NULL,NULL
441110: NEW CAR DEALERS,441110,NEW CAR DEALERS,44,441,Automotive,1,0
441120: USED CAR DEALERS,441120,USED CAR DEALERS,44,441,Automotive,1,0
44121: RECREATIONAL VEHICLE DEALERS,44121,RECREATIONAL VEHICLE DEALERS,NULL,NULL,NULL,NULL,NULL
441210: RECREATIONAL VEHICLE DEALERS,441210,RECREATIONAL VEHICLE DEALERS,44,441,Automotive,1,0
"44122: MOTORCYCLE, BOAT, AND OTHER MOTOR VEHICLE DEALERS",44122,"MOTORCYCLE, BOAT, AND OTHER MOTOR VEHICLE DEALERS",NULL,NULL,NULL,NULL,NULL
441221: MOTORCYCLE DEALERS,441221,MOTORCYCLE DEALERS,44,441,Automotive,1,0
441222: BOAT DEALERS,441222,BOAT DEALERS,44,441,Automotive,1,0
NULL,441228,NULL,NULL,NULL,NULL,NULL,NULL
441229: ALL OTHER MOTOR VEHICLE DEALERS,441229,ALL OTHER MOTOR VEHICLE DEALERS,44,441,Automotive,1,0
44131: AUTOMOTIVE PARTS AND ACCESSORIES STORES,44131,AUTOMOTIVE PARTS AND ACCESSORIES STORES,NULL,NULL,NULL,NULL,NULL
441310: AUTOMOTIVE PARTS AND ACCESSORIES STORES,441310,AUTOMOTIVE PARTS AND ACCESSORIES STORES,44,441,Automotive,1,0
441320: TIRE DEALERS,441320,TIRE DEALERS,44,441,Automotive,1,0
442110: FURNITURE STORES,442110,FURNITURE STORES,44,442,Home Essentials,1,0
44221: FLOOR COVERING STORES,44221,FLOOR COVERING STORES,NULL,NULL,NULL,NULL,NULL
442210: FLOOR COVERING STORES,442210,FLOOR COVERING STORES,44,442,Home Essentials,1,0
442291: WINDOW TREATMENT STORES,442291,WINDOW TREATMENT STORES,44,442,Home Essentials,1,0
442299: ALL OTHER HOME FURNISHINGS STORES,442299,ALL OTHER HOME FURNISHINGS STORES,44,442,Home Essentials,1,0
443111: HOUSEHOLD APPLIANCE STORES,443111,HOUSEHOLD APPLIANCE STORES,44,443,Information Technology Services and Equipment,1,0
"443112: RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",443112,"RADIO, TELEVISION, AND OTHER ELECTRONICS STORES",44,443,Information Technology Services and Equipment,1,0
44312: COMPUTER AND SOFTWARE STORES,44312,COMPUTER AND SOFTWARE STORES,NULL,NULL,NULL,NULL,NULL
443120: COMPUTER AND SOFTWARE STORES,443120,COMPUTER AND SOFTWARE STORES,44,443,Information Technology Services and Equipment,1,0
44313: CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,44313,CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,NULL,NULL,NULL,NULL,NULL
443130: CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,443130,CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,44,443,Information Technology Services and Equipment,1,0
443141: HOUSEHOLD APPLIANCE STORES ,443141,HOUSEHOLD APPLIANCE STORES ,NULL,NULL,NULL,NULL,NULL
NULL,443142,NULL,NULL,NULL,NULL,NULL,NULL
4441: BUILDING MATERIAL AND SUPPLIES DEALERS,4441,BUILDING MATERIAL AND SUPPLIES DEALERS,NULL,NULL,NULL,NULL,NULL
444110: HOME CENTERS,444110,HOME CENTERS,44,444,Construction and Renovation,1,0
444120: PAINT AND WALLPAPER STORES,444120,PAINT AND WALLPAPER STORES,44,444,Construction and Renovation,1,0
444130: HARDWARE STORES,444130,HARDWARE STORES,44,444,Construction and Renovation,1,0
444190: OTHER BUILDING MATERIAL DEALERS,444190,OTHER BUILDING MATERIAL DEALERS,44,444,Construction and Renovation,1,0
