Unseperated,systemequipmentcode,systemequipmentcodeText,Rank,IsIdentifiedSystemEquipment
NULL,2FDB,105MM SMK WP M60,NULL,1
NULL,2FME,MK-55 MINE,1547,1
NULL,2FMG,MK-57 MINE SUB LAID MOORED,NULL,1
NULL,2FMM,MK-65 MINE,NULL,1
2FPC: ,2FPC,5./54 MK-41 PROJECTILE,1116,1
2FTB: ,2FTB,MK30 MOBILE TARGET,483,1
NULL,2FTD,MK37 TORPEDO,NULL,1
NULL,2FTG,MK44 TORPEDO,NULL,1
NULL,2FTH,MK45 TORPEDO (ASTOR),NULL,1
2FTJ: ,2FTJ,MK46 TORPEDO LT WT ASW,246,1
2FTL: ,2FTL,MK48 TORPEDO (ADCAP),270,1
2FTN: ,2FTN,MK50 TORPEDO,978,1
NULL,2FTR,MK60 CAPTOR,NULL,1
2GAB: ,2GAB,AN/ULQ-6,946,1
2GAD: ,2GAD,AN/UYH/K-3 MEMORY UNITS,1290,1
2GAF: ,2GAF,AN/USM-247 (VAST),992,1
NULL,2GAI,AN/ALQ-100 ECM,NULL,1
NULL,2GAJ,AN/FLR-11,NULL,1
2GAK: ,2GAK,AN/ALQ-61 ECM,1678,1
NULL,2GAL,M-81 FIRE CONTROL SYSTEM,NULL,1
2GAM: ,2GAM,AN/ALR-45,1171,1
NULL,2GAN,AN/SLQ-19,NULL,1
2GAP: ,2GAP,AN/SLQ-21 ECM,1794,1
NULL,2GAR,AN/SLQ-17,NULL,1
NULL,2GAT,AN/SLQ-12 ECM,NULL,1
2GAU: ,2GAU,AN/BSY-2 SUBMARINE COMBAT SYS,358,1
2GAV: ,2GAV,AN/SLQ-13,489,1
2GAY: ,2GAY,AN/WLR-1,1145,1
NULL,2GAZ,AN/SLR-13,NULL,1
2GBA: ,2GBA,ANTENNA IMPROV PLAN,1265,1
2GBB: ,2GBB,AN/ASQ-104 NAVIGATION SYS,1010,1
2GBC: ,2GBC,M-12 (AIMS) IFF,777,1
2GBD: ,2GBD,AN/UYK-5 ADP SYSTEM,1298,1
NULL,2GBE,AN/SYQ 2/3/4 NTDS DATA SYS,1578,1
2GBF: ,2GBF,XM23 RANGE FINDER LASER,677,1
2GBH: ,2GBH,MK75 MOD3 RANGE FINDER,1529,1
2GBK: ,2GBK,AN/BRD() LF-VHF-DF,1368,1
2GBM: ,2GBM,AN/TSQ-18 LANDING CNTRL CNTR,1452,1
2GBN: ,2GBN,AN/UYA-4 NTDS,1091,1
2GBO: ,2GBO,MK86 GUN FIRE CTRL SYS,1185,1
NULL,2GBQ,AN/SYA-12 GARD,NULL,1
NULL,2GBR,AN/GYK-3 (V),1208,1
NULL,2GBS,AN/TYA-20,1489,1
NULL,2GBT,MK65 ANALOG DIGT CONVERTOR,NULL,1
2GBU: ,2GBU,AN/USG-13 TACMO 3,1053,1
NULL,2GBV,AN/USM-207,NULL,1
NULL,2GBX,AN/USQ-20 NTDS,1189,1
NULL,2GBY,OU/BQH-5 SIGNAL CONVERTER,1574,1
2GBZ: ,2GBZ,AN/UYK-7 COMPUTER SYS,833,1
2GCA: ,2GCA,AN/SLQ-25 TORP CM TRANS SYS,520,1
2GCB: ,2GCB,AN/UYK-20 GARD,557,1
NULL,2GCC,OJ-172 DATA EXC AUX CONSOLE,NULL,1
2GCD: ,2GCD,AN/ALE-41,822,1
2GCF: ,2GCF,AN/ALQ-126 ECM,1161,1
NULL,2GCH,AN/PSW-1,1183,1
2GCI: ,2GCI,AN/ALE-50,174,1
NULL,2GCJ,AN/DKT-26/27/36,NULL,1
2GCK: ,2GCK,CAINS GROUND SUPPORT EQUIP,709,1
NULL,2GCL,MK82 WPN DATA CONVERTER,NULL,1
NULL,2GCM,AN/BLR-14 ECM,NULL,1
2GCO: ,2GCO,AN/WLR-8,930,1
NULL,2GCP,MK76 GD MSL FIRE CTRL SYS,NULL,1
2GCQ: ,2GCQ,MK92 FIRE CONTROL SYS,622,1
NULL,2GCR,WLR 14 SEASCOUT SYSTEM MISSILE,NULL,1
2GCS: ,2GCS,MK74 FIRE CONTROLS SYS,945,1
NULL,2GCT,AN/ALQ-123,NULL,1
2GCU: ,2GCU,MATCALS,1247,1
NULL,2GCZ,SEA NYMPH PROGRAM,1775,1
2GDA: ,2GDA,MARK XII PROGRAM,554,1
NULL,2GDC,AN/TGC-37 COMM CENTRAL,1695,1
NULL,2GDD,AN/VCC-1,NULL,1
NULL,2GDE,CAESAR,991,1
NULL,2GDF,OMEGA (SHORE),NULL,1
2GDG: ,2GDG,SATCOM,223,1
NULL,2GDI,AN/TYA-11 COMM CENTRAL,1398,1
NULL,2GDJ,AN/TYQ-2 TAOC,1080,1
NULL,2GDK,AN/TYQ-1 TACC,871,1
2GDL: ,2GDL,AN/TYQ-3 TDC,1261,1
NULL,2GDM,NULL,NULL,1
NULL,2GDP,AN/UGC-25 TELGRPH/TELTYPE,NULL,1
2GDQ: ,2GDQ,AN/TTC-3 CENT  OFF TEL,986,1
NULL,2GDR,SECT,NULL,1
2GDS: ,2GDS,AN/TYC-5 DATA COMM TERMINAL,1182,1
NULL,2GDT,DIAMOND,NULL,1
2GDW: ,2GDW,AN/ASW-20,1238,1
2GDZ: ,2GDZ,AN/UGC-74,715,1
NULL,2GEB,NULL,NULL,1
NULL,2GED,TSEC/KG-23,NULL,1
NULL,2GEK,TSEC HYL-3/4,NULL,1
2GFA: ,2GFA,AN/TTC-38 CENT OFF TEL,1563,1
2GFB: ,2GFB,AN/UGC-129,947,1
2GFC: ,2GFC,AN/FSA-52 COMM CTRL EQUIP,1266,1
NULL,2GFD,AN/TTC-42 TRITAC,602,1
2GFE: ,2GFE,AN/SYR-1 TRACKING SET,701,1
2GFF: ,2GFF,AN/SLQ-32,499,1
2GFH: ,2GFH,AN/UYK-43,316,1
NULL,2GFJ,AN/PSC-2 DIG COMM TERM,NULL,1
2GFM: ,2GFM,,NULL,1
2GHA: ,2GHA,AIRBORNE ECM/ECCM NKC-135,1248,1
2GHB: ,2GHB,CASS,188,1
NULL,2GHD,DIGITAL COMPUTER 152-MOD-O,NULL,1
2GHE: ,2GHE,AN/WSN-1 INERT NAV SYS,1300,1
2GHF: ,2GHF,AN/GXC-7,1480,1
2GHG: ,2GHG,LAMPS,1069,1
2GHH: ,2GHH,AN/WLR-9,1126,1
2GHI: ,2GHI,AN/UYQ-21 NTDS,445,1
2GHJ: ,2GHJ,AN/USH-24,351,1
NULL,2GHM,TT-624 (A)(V) TELEPRNTR,NULL,1
2GHN: ,2GHN,MK-113 FIRE CONTROL,1414,1
2GHR: ,2GHR,AN/ALQ-165 (V) (ASPJ),525,1
2GHT: ,2GHT,AN/ALR-67 COUNT WARNING SYS,281,1
NULL,2GHV,SAWE-RF,611,1
2GHY: ,2GHY,E-6A (TACAMO),195,1
2GID: ,2GID,,NULL,1
2GIE: ,2GIE,TACTICAL CONTROL SYSTEM,744,1
2GIF: ,2GIF,MISSION DISTRIBUTION SYS (MDS),661,1
NULL,2GKE,GF-4473 SDC ARRAY MULTIP SET,1727,1
NULL,2GMC,LNT 5/ INERT NAV AID,1643,1
2GMD: ,2GMD,C-3 INERT NAVIG EQUIP,1274,1
NULL,2GME,AN/ASN-84 INER NAV SYS,921,1
2GMG: ,2GMG,AN/SPS-58,788,1
2GMH: ,2GMH,AN/SPS-52 RADAR,905,1
2GMI: ,2GMI,AN/APN-194,674,1
NULL,2GMJ,AN/TPS-47,NULL,1
2GMK: ,2GMK,AN/USP-1 RADAR,1085,1
NULL,2GMM,AN/APS-88,NULL,1
NULL,2GMN,AN/APX-72,1150,1
NULL,2GMO,AN/SPN-43,NULL,1
NULL,2GMQ,NULL,NULL,1
NULL,2GMR,AN/WSN-1 (V),1447,1
NULL,2GMS,AN/PPS-15,NULL,1
NULL,2GMT,AN/TPX-42V,1544,1
NULL,2GMU,AN/TPN-22,NULL,1
2GMY: ,2GMY,AN/TPS-63 RADAR SET,893,1
NULL,2GMZ,AN/TXQ-3 RADAR RELAY SET,NULL,1
2GNB: ,2GNB,,NULL,1
NULL,2GNE,AN/APQ-103,NULL,1
2GNF: ,2GNF,AN/SPS-48 AIR SEARCH RADAR,411,1
NULL,2GNG,AN/SPG-51 RADAR,1604,1
NULL,2GNH,AN/FPN-16 PRECISION APPROACH,1162,1
2GNI: ,2GNI,AN/APG-59 RADAR,1433,1
NULL,2GNJ,AN/TPS-32,NULL,1
2GNM: ,2GNM,AN/APQ-109 RADAR,922,1
2GNQ: ,2GNQ,AN/SPS 40,1217,1
NULL,2GNR,NULL,NULL,1
2GNS: ,2GNS,AN/SPA 25,1003,1
2GNT: ,2GNT,AN/SPS 49,470,1
NULL,2GNU,AN/SPS 30,NULL,1
NULL,2GNY,AN/UPR-2,NULL,1
NULL,2GNZ,AN/APD-7 RADAR,NULL,1
NULL,2GPA,AN/TRN-28,NULL,1
2GPC: ,2GPC,AN/ARN-84 TACAN NAVIG,994,1
2GPE: ,2GPE,AN/GRN-9,1361,1
NULL,2GPF,AN/ARC-51 RADIO,NULL,1
NULL,2GPG,VERDIN II ZLF-LF RADIO,1608,1
NULL,2GPI,AN/WRR-7,NULL,1
2GPK: ,2GPK,AN/FRT-84 TRANSMITTER,1048,1
NULL,2GPO,AN/PRC-75 RADIO SET,NULL,1
NULL,2GPP,AN/PRC-77 RADIO SET,1028,1
2GPQ: ,2GPQ,AN/ARN-52 TACAN,1240,1
NULL,2GPS,AN/SRC-27 RADIO,1627,1
NULL,2GPW,AN/URD-4,1165,1
NULL,2GPX,AN/BRD-4,NULL,1
2GQB: ,2GQB,AN/SPG-55 RADAR ANTENNA,837,1
2GQC: ,2GQC,AN/BPS-15 RADAR,961,1
2GQD: ,2GQD,AN/TPS-59 RADAR SYS,286,1
2GQE: ,2GQE,MK-23 TAS,1044,1
2GQH: ,2GQH,AN/WSN-2,1244,1
NULL,2GQL,AN/TPS-71 ROHR,NULL,1
2GQM: ,2GQM,OTHR (OVER THE HORIZON RADAR),657,1
2GQP: ,2GQP,AN/SPN-46(V),793,1
2GRA: ,2GRA,AN/URC-82,453,1
NULL,2GRB,NULL,NULL,1
NULL,2GRC,AN/BRD-7,NULL,1
2GRD: ,2GRD,AN/WRN-5,891,1
2GRE: ,2GRE,AN/WRC-1,1532,1
NULL,2GRF,AN/MRC-HF,NULL,1
2GRG: ,2GRG,AN/PRC-104,1655,1
NULL,2GRH,AN/PRC-68,NULL,1
2GRI: ,2GRI,AN/GRC-193,890,1
2GRK: ,2GRK,AN/ARC-159,767,1
2GRM: ,2GRM,AN/ARA-63,826,1
NULL,2GRP,NULL,NULL,1
NULL,2GRR,NULL,NULL,1
NULL,2GRT,AN/URN-25,1560,1
NULL,2GSB,AN/BQR-20,NULL,1
NULL,2GSC,AN/BQS-4,1225,1
NULL,2GSD,AN/BQR-23,NULL,1
2GSG: ,2GSG,AN/BQN-17,979,1
2GSH: ,2GSH,AN/SQS-35,707,1
2GSI: ,2GSI,AN/SQS-56,1076,1
2GSJ: ,2GSJ,AN/BQQ-6 SONAR,431,1
2GSK: ,2GSK,AN/SQR-17 SONAR,900,1
NULL,2GSM,AN/SQR-19 SONAR,1788,1
NULL,2GSN,AN/SQR-18,1591,1
NULL,2GSQ,NULL,NULL,1
2GSS: ,2GSS,AN/SQQ-89 SONAR,144,1
2GST: ,2GST,AN/BSY-1 (V) SONAR,192,1
NULL,2GSU,AN/SLR-24 SONAR,748,1
2GSV: ,2GSV,AN/SQQ-32 SONAR,569,1
2GSW: ,2GSW,AN/BQS-15 SONAR,1033,1
2GTA: ,2GTA,AN/SQQ-16 MINE SONAR,1314,1
NULL,2GTB,AN/BQH-2,NULL,1
2GTC: ,2GTC,AN/FQQ-1/2/3/9 CAESAR/SOSUS,1527,1
NULL,2GTE,AN/SQQ-14 SONAR,NULL,1
NULL,2GTG,AN/SQS-26 SONAR,NULL,1
NULL,2GTH,AN/BQR-7 SONAR,NULL,1
NULL,2GTI,AN/BQH-4 (SSEP),1666,1
NULL,2GTL,AN/BQQ-1  SONAR,NULL,1
NULL,2GTN,AN/SQS-23 SONAR,NULL,1
NULL,2GTO,AN/SQQ-23,NULL,1
2GTP: ,2GTP,TOWED SONAR ARRAY,400,1
2GTR: ,2GTR,AN/BQR-15 TOWED ARRAY,1296,1
NULL,2GTS,AN/BQS-13,NULL,1
NULL,2GTT,AN/BQR-19 TOPHAT,NULL,1
2GTU: ,2GTU,AN/SQS-53 SONAR,560,1
2GTV: ,2GTV,AN/BQQ-5,598,1
NULL,2GTX,AN/SQR-15,NULL,1
NULL,2GTY,TR-155 BQ TRANSDUCER ELEMENT,NULL,1
NULL,2GTZ,AN/BQU-17 DEPTH SOUNDER,NULL,1
2GUA: ,2GUA,AN/SSQ-53 (DIFAR),355,1
NULL,2GUD,AN/SSQ-1(DIRECTIONAL),NULL,1
2GUI: ,2GUI,AN/SSQ-57 SPECIAL PURPOSE,549,1
2GUL: ,2GUL,AN/SSQ-36,872,1
2GUM: ,2GUM,AN/SSQ-62 DICASS,546,1
2GUT: ,2GUT,AN/SSQ-77(VLAD),409,1
NULL,2GVE,AN/WSC-3 SHIPBOARD SATCOM,1635,1
2GYC: ,2GYC,OPERATIONAL CONTROL CENTERS,666,1
2HBH: ,2HBH,AN/PVS-4 SIGHT,1283,1
NULL,2HBI,AN/PVS-5 SIGHT,1514,1
2HDF: ,2HDF,400 HZ POWER GENERATOR,1531,1
NULL,2HDG,1250 KW TURBINE,NULL,1
NULL,2HDH,750 KW TURBINE,NULL,1
NULL,2HDI,1500 KW SSTG,NULL,1
NULL,2HDJ,2000 KW SSTG,NULL,1
2HDK: ,2HDK,2500 LM GAS TURBINE,599,1
2HEA: ,2HEA,GUPPY I SUBMARINE,1157,1
NULL,2HEB,SARGO I-II SUBMARINE,NULL,1
2HFA: ,2HFA,TYPE 15 PERISCOPE,1571,1
2HFC: ,2HFC,TYPE 18 PERISCOPE,1254,1
NULL,2HXA,EX-41 VLS COVER VERT LNCH PAD,NULL,1
NULL,2HXC,25/MK 58 LOCATION MARKER,1455,1
NULL,2HXD,AS2629 BBR CABLE ASSEMBLY,980,1
2HXE: ,2HXE,MK-56 ROCKET MOTOR,1595,1
NULL,2HXF,MK-II SINS INERTIAL INSTR,NULL,1
NULL,2HXL,1200 PSI STEAM SYSTEM,NULL,1
2HXN: ,2HXN,MK-27,932,1
NULL,2HXP,SJU-17(V) NACES,783,1
NULL,2HXR,4500 PSI AIR COMPRESSOR SYS,1625,1
2HXS: ,2HXS,125/250 AIR CONDITIONING SYS,1385,1
2HYB: ,2HYB,GGU-71A OBOGS OXY CONCENTRATOR,1535,1
NULL,2HYC,CRU-99A OBOGS OXYGEN MONITOR,1078,1
2HYD: ,2HYD,A/P22P-9(V) CBR,676,1
2IAA: ,2IAA,ARC-210 RADIO SET,328,1
2SAB: ,2SAB,BATTLESHIP,869,1
2SAF: ,2SAF,CRUISER GUIDED MISSILE-CG,287,1
2SAH: ,2SAH,CRUISER GD MSL NUCLEAR-CGN,1801,1
NULL,2SAJ,CRUISER HEAVY-CA,NULL,1
NULL,2SAP,CRUISER LIGHT GD MISSILE-CLG,NULL,1
2SBB: ,2SBB,AIRCRAFT CARRIER -CVN-72,718,1
2SBC: ,2SBC,CARRIER ANTI-SUB SUPT-CVS,1415,1
2SBD: ,2SBD,CARRIER CVV,1060,1
2SBE: ,2SBE,AIRCRAFT CARRIER -CVN-71,301,1
NULL,2SBF,CARRIER ATTACK-CVA-19,NULL,1
NULL,2SBG,CARRIER ATTACK-CVA-41,1434,1
2SBH: ,2SBH,CARRIER AIRCRAFT-CVA-59,698,1
2SBI: ,2SBI,CARRIER AIRCRAFT-CVA-63,289,1
2SBJ: ,2SBJ,AIRCRAFT CARRIER -CVA-64,486,1
2SBK: ,2SBK,CARRIER AIRCRAFT-CVA-67,1100,1
2SBL: ,2SBL,CARRIER AIRCRAFT-CVAN-68,1756,1
2SBM: ,2SBM,AIRCRAFT CARRIER -CVAN-69,876,1
2SBN: ,2SBN,AIRCRAFT CARRIER CVAN-65,181,1
2SBP: ,2SBP,CARRIER ACFT NUCLEAR-CVAN,30,1
2SCA: ,2SCA,DESTROYER DDG-47 AEGIS,273,1
2SCB: ,2SCB,DESTROYER DD-963 CLASS,595,1
NULL,2SCE,DESTROYER DD-862 CLASS,NULL,1
NULL,2SCF,DESTROYER DD-931 CLASS,NULL,1
NULL,2SCG,FRIGATE FF-1091,1722,1
2SCH: ,2SCH,DESTROYER GD MSL DDG-2 CLASS,452,1
NULL,2SCI,DESTROYER DE 1101,NULL,1
2SCJ: ,2SCJ,DESTROYER GD MSL MODULE-DXG,1617,1
2SCK: ,2SCK,DESTROYER DD-993 CLASS,1191,1
2SCM: ,2SCM,FRIGATE FF-1049,1568,1
NULL,2SCN,DESTROYER RADAR PICKET-DDR,638,1
2SCQ: ,2SCQ,FRIGATE DL,1403,1
NULL,2SCR,DESTROYER DD-819 USS HOLDER,NULL,1
2SCS: ,2SCS,FRIGATE GD MSL-DLG,389,1
2SCV: ,2SCV,DESTROYER DD-997 CLASS,1170,1
2SCW: ,2SCW,FRIGATE FF-1052,772,1
NULL,2SCX,FRIGATE FF 1076,1706,1
2SCY: ,2SCY,DESTROYER DDG-51,18,1
2SDA: ,2SDA,SSN-21 SEAWOLF CLASS,78,1
NULL,2SDD,SUBMARINE SS-WW-II,NULL,1
NULL,2SDF,SUBMARINE SS GUPPY III,NULL,1
NULL,2SDH,SUBMARINE SS MODERNIZED,NULL,1
2SDI: ,2SDI,SUBMARINE SSN-688,268,1
2SDJ: ,2SDJ,SUBMARINE GUIDED MISSILE-SSG,1342,1
2SDK: ,2SDK,SUBMARINE SS BN-741,952,1
2SDL: ,2SDL,SUBMARINE FBM-SSBN,524,1
2SDN: ,2SDN,SUBMARINE NUCLEAR-SSN,45,1
2SDR: ,2SDR,TRIDENT,130,1
NULL,2SDS,SUBMARINE EXPERIMENT SASITS,NULL,1
2SEA: ,2SEA,ASSAULT SHIP AMPHIBIOUS-LHD-1,116,1
2SEB: ,2SEB,LANDING CRAFT AIR CUSHION LCAC,383,1
NULL,2SEC,ASSAULT SHIP AMPHIBIOUS-LPH,574,1
2SED: ,2SED,ASSAULT SHIP AMPHIBIOUS-LHA,274,1
2SEE: ,2SEE,LANDING CRAFT LCU,424,1
2SEF: ,2SEF,CARGO SHIP LKA117,1056,1
2SEG: ,2SEG,CARGO SHIP ATTACK-AKA,1779,1
2SEJ: ,2SEJ,DOCK AMPHIB TRANSPORT-LPD,180,1
2SEP: ,2SEP,LANDING SHIP DOCK-LSD,169,1
NULL,2SEQ,LANDING SHIP MEDIUM-LSM,NULL,1
2SES: ,2SES,LANDING SHIP TANK-LST,845,1
2SFB: ,2SFB,MINE CTMS SUPPORT SHIP-MCS,556,1
2SFF: ,2SFF,MINEHUNTER COSTL NON-MAG-MHC,196,1
2SFI: ,2SFI,MINELAYER COASTAL-MMC,1273,1
NULL,2SFJ,MINELAYER DESTROYER DM,NULL,1
NULL,2SFK,MINELAYER FLEET-MMF,NULL,1
NULL,2SFM,MINESWEEPER AUXILARY-MSA,NULL,1
NULL,2SFN,MNSWEEPER COSTL NON-MAG-MSC,NULL,1
2SFO: ,2SFO,MINESWEEPER COASTAL-MSCO,1742,1
NULL,2SFP,MINESWEEPER FLEET-MSF,NULL,1
2SFQ: ,2SFQ,MNSWEEPER OCEAN NON-MAG-MSO,1031,1
NULL,2SFR,MINESWEEPER SPECIAL-MSS,NULL,1
NULL,2SGJ,PATROL HYDROFOIL MSL PHM,NULL,1
NULL,2SGK,NULL,NULL,1
NULL,2SGL,PATROL AIR CSHN VEHICLE-PACV,NULL,1
2SGM: ,2SGM,PATROL BOAT FAST-PTF,641,1
2SGN: ,2SGN,PATROL CFT COSTL FAST-PCF,391,1
NULL,2SGO,NULL,NULL,1
NULL,2SGP,PATROL GUNBOAT-PG,NULL,1
NULL,2SGQ,PATROL GUNBOAT HYDROFOIL-PGH,NULL,1
2SGR: ,2SGR,PATROL BOAT RIVER PBR,993,1
2SGS: ,2SGS,SUBMARINE CHASER (173 FT) PC,909,1
NULL,2SGV,SUBMARINE CHASER (110 FT) SC,NULL,1
2SHC: ,2SHC,COMMAND SHIP-CC,519,1
2SHE: ,2SHE,CMND SHIP TACTICAL FLEET-AGF,505,1
NULL,2SIB,ADV AVIATION BASED SHIP-AVB,NULL,1
2SID: ,2SID,AMMUNITION SHIP-AE,419,1
2SIG: ,2SIG,BARGE SHIP WASTE,1229,1
2SII: ,2SII,BARRACKS SHIP SELF-PROP-APB,373,1
2SIK: ,2SIK,PRP BRTNG & MESSNG BRG YRBNL,587,1
2SIL: ,2SIL,CARGO SHIP-AK,184,1
2SIO: ,2SIO,CARGO SHIP LIGHT-AKL,1226,1
NULL,2SIP,NULL,NULL,1
NULL,2SIS,COMM RLY SHIP (MAJOR)-AGMR,NULL,1
2SJA: ,2SJA,FLOAT DRY DOCK AFDM-282,1270,1
NULL,2SJC,GUIDED MISSILE SHIP-AVM,NULL,1
2SJF: ,2SJF,HOSPITAL SHIP-AH,768,1
2SJH: ,2SJH,ICEBREAKER-AGB,1538,1
NULL,2SJJ,INSTRMNTN MSL RNG-AGM-9/10,NULL,1
NULL,2SJK,INSTRMNTN MSL RNG-AGM-13,1645,1
NULL,2SJM,INSTR TRK FBM TAGM-22,1416,1
NULL,2SJO,LAUNCH SHIP SATELLITE-AGSL,NULL,1
2SJS: ,2SJS,MISCELLANEOUS-AG,96,1
2SJW: ,2SJW,OILER-AO,331,1
NULL,2SJX,OILER REPLENISHMENT-AOR,1517,1
2SKD: ,2SKD,REPAIR SHIP AIRCRAFT,1050,1
NULL,2SKF,REPAIR SHIP AIRCRAFT-ARVA,NULL,1
2SKJ: ,2SKJ,REPR & CABLE LAYING SHIP-ARC,751,1
NULL,2SKL,REPR SHP LANDING CRAFT-ARL,NULL,1
2SKM: ,2SKM,RESCUE & SALVAGE SHIP,694,1
NULL,2SKN,RESCUE SHIP SUBMARINE-ASR,NULL,1
2SKP: ,2SKP,RESCH SHP OCEANOGRAPHIC-AGOR,407,1
NULL,2SKS,RESEARCH SHIP ESCORT-AGDE,NULL,1
NULL,2SKU,RESEARCH SHP TECHNICAL-AGTR,NULL,1
2SLC: ,2SLC,SALVAGE SHIP-ARS,879,1
NULL,2SLE,SALVAGE CRAFT TENDER-ARST,NULL,1
2SLG: ,2SLG,SHIP STORE-AF,888,1
2SLH: ,2SLH,SHIP STORE COMBAT-AFS,642,1
2SLJ: ,2SLJ,SERVICE CRAFT,375,1
2SLK: ,2SLK,SUBMARINE AUXILARY-AGSS(ASW),1036,1
2SLL: ,2SLL,SUBMARINE AUXILARY-AGSS(R+D),861,1
2SLN: ,2SLN,SUPPORT SHIP COMBAT FAST-AOE,552,1
2SLP: ,2SLP,SURTASS SHIP T-AGOS,623,1
2SLQ: ,2SLQ,SURVEYING SHIP SMALL-AGS,338,1
2SLR: ,2SLR,SURVEYING SHIP MEDIUM-AGS,789,1
2SLS: ,2SLS,SURVEYING SHIP LARGE-AGS,678,1
NULL,2SLT,SURVEYING SHIP COASTAL-AGSC,NULL,1
NULL,2SMC,TENDER DESTROYER-AD,1548,1
NULL,2SMD,TENDER SEAPLANE-AV,NULL,1
NULL,2SME,TENDER SEAPLANE SMALL-AVP,NULL,1
2SMF: ,2SMF,TENDER SUBMARINE (FBM)-AS,1267,1
2SMG: ,2SMG,TENDER SUB (NON-FBM)-AS,1345,1
NULL,2SMJ,TRANSPORT-AP,1634,1
NULL,2SMK,TRANSPORT AUXILARY ACFT-AVT,NULL,1
NULL,2SML,TRANSPORT COASTAL SMALL-APC,NULL,1
NULL,2SMO,NULL,NULL,1
2SMP: ,2SMP,TUG OCEAN FLEET-ATF,841,1
NULL,2SMQ,TUG SALVAGE ATS,NULL,1
2SMR: ,2SMR,TUG HARBOR LGE YTB,786,1
2SMZ: ,2SMZ,FUEL BARGE NON-SELF PROP,1061,1
2ZBC: ,2ZBC,BASE REALIGN & CLOS (BRAC) ENV,56,1
2ZDE: ,2ZDE,DEF ENVIR & RESTORA PRG (DERP),34,1
2ZOP: ,2ZOP,OTHER ENVIRONMENTAL PROGRAMS,33,1
2ZSE: ,2ZSE,ENVIR PROTECT AGENCY SUPERFUND,74,1
300: MAVERICK (LASER) ,300,MAVERICK (LASER) ,NULL,1
3000: ,3000,NOT DISCERNABLE OR CLASSIFIED,NULL,0
301: FCS ,301,FCS ,19,1
302: MINUTEMAN III GRP ,302,MINUTEMAN III GRP ,1800,1
307: HAWK IMPROVED ,307,HAWK IMPROVED ,NULL,1
308: TOW ,308,TOW ,NULL,1
309: A-7E ,309,A-7E ,NULL,1
310: CONDOR ,310,CONDOR ,NULL,1
311: POSEIDON ,311,POSEIDON ,NULL,1
312: S-3A ,312,S-3A ,NULL,1
313: A-7D ,313,A-7D ,NULL,1
315: F-111A/D/E/F ,315,F-111A/D/E/F ,NULL,1
316: F-5E ,316,F-5E ,NULL,1
317: MAVERICK (TV) ,317,MAVERICK (TV) ,NULL,1
NULL,319,NULL,NULL,1
321: WAM (WWMCCS/WIS) ,321,WAM (WWMCCS/WIS) ,NULL,1
324: P-3C ,324,P-3C ,NULL,1
326: WIDEBAND GAPFILLER ,326,WIDEBAND GAPFILLER ,173,1
327: C-5 RERP ,327,C-5 RERP ,369,1
328: PROPHET SYSTEM ,328,PROPHET SYSTEM ,NULL,1
329: PRV ,329,PRV ,540,1
330: AESA ,330,AESA ,352,1
331: ALAM ,331,ALAM ,1429,1
332: JCC(X) ,332,JCC(X) ,1228,1
333: LHA ( R ) ,333,LHA ( R ) ,121,1
334: MMA ,334,MMA ,53,1
335: MPF ,335,MPF ,1494,1
336: SAFEGUARD ,336,SAFEGUARD ,NULL,1
337: SSGN ,337,SSGN ,561,1
339: JSIMS ,339,JSIMS ,1299,1
340: SRAM ,340,SRAM ,NULL,1
341: BLACK HAWK UPGRADE (UH-60M) ,341,BLACK HAWK UPGRADE (UH-60M) ,262,1
342: VAST ,342,VAST ,NULL,1
343: CDL ,343,CDL ,NULL,1
344: AV-8A ,344,AV-8A ,NULL,1
345: MUOS ,345,MUOS ,92,1
346: CBDP ,346,CBDP ,NULL,1
347: GCSS ARMY ,347,GCSS ARMY ,429,1
349: GCSS-AF ,349,GCSS-AF ,NULL,1
350: GCSS-AF ,350,GCSS-AF ,NULL,1
351: C-5A ,351,C-5A ,588,1
352: HPCM ,352,HPCM ,317,1
NULL,353,SKY WARRIOR (reassigned JOINT MRAP?),NULL,1
354: SDB ,354,SDB ,242,1
355: GCSS DOD ,355,GCSS DOD ,613,1
357: GCSS ARMY ,357,GCSS ARMY ,NULL,1
358: SBR ,358,SBR ,234,1
359: MINUTEMAN II ,359,MINUTEMAN II ,NULL,1
360: JTRS CLUSTER 1 ,360,JTRS CLUSTER 1 ,178,1
362: BMDS ,362,BMDS ,117,1
364: E-2C ADVANCED HAWKEYE ,364,E-2C ADVANCED HAWKEYE ,492,1
365: COBRA JUDY REPLACEMENT ,365,COBRA JUDY REPLACEMENT ,123,1
366: EXCALIBUR,366,EXCALIBUR,232,1
367: HIMARS ,367,HIMARS ,231,1
368: AGM-88E AARGM ,368,AGM-88E AARGM ,1440,1
369: AOC-WS ,369,AOC-WS ,449,1
370: JOINT COMMON MISSILE ,370,JOINT COMMON MISSILE ,193,1
371: ACS ,371,ACS ,149,1
372: JLENS ,372,JLENS ,175,1
373: BAMS ,373,BAMS ,797,1
374: LCS ,374,LCS ,460,1
NULL,375,NULL,NULL,1
376: B-2 RMP ,376,B-2 RMP ,252,1
377: E-10 ,377,E-10 ,621,1
378: EA-18G ,378,EA-18G ,110,1
379: SHILLELAGH MISSILE ,379,SHILLELAGH MISSILE ,1738,1
380: JTRS AMF ,380,JTRS AMF ,325,1
