AgencyID,AgencyIDtext,DepartmentID,CSISName,Customer,SubCustomer,InternationalAssistancePrograms,IsDiscrepency,MinOfStartDate,MaxOfEndDate,IsUnknownAgencyID,IsExceptionToContradictionTest,SubCustomerSum,IsDefense,PlatformPortfolio
1653,VETERANS EMPLOYMENT AND TRAINING SERVICES,1653,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2013-10-01,0,0,Labor,0,NULL
1655,WOMEN'S BUREAU,1655,NULL,Other Agencies,Labor,0,NULL,1979-12-15,2013-09-30,0,0,Labor,0,NULL
1663,NATIONAL COMMISSION FOR EMPLOYMENT POLICY,1600,NULL,Other Agencies,Labor,0,NULL,1993-01-04,2006-07-20,0,0,Labor,0,NULL
1665,PENSION BENEFIT GUARANTY CORPORATION,NULL,NULL,Other Agencies,Labor,0,NULL,1993-02-01,2013-10-31,0,0,Labor,0,NULL
1667,PRESIDENT'S COMMITTEE ON EMPLOYMENT OF THE HANDICAPPED,1667,NULL,Other Agencies,Labor,0,NULL,1990-08-01,2013-10-01,0,0,Labor,0,NULL
1668,PRESIDENTIAL TASK FORCE ON EMPLOYMENT OF ADULTS WITH DISABILITIES,NULL,NULL,Other Agencies,Labor,NULL,NULL,NULL,NULL,0,0,Labor,0,NULL
1669,NATIONAL OCCUPATIONAL INFORMATION COORDINATING COMMITTEE,1669,NULL,Other Agencies,Labor,0,NULL,1984-01-01,2012-03-16,0,0,Labor,0,NULL
1670,1670,1600,NULL,Other Agencies,NULL,0,NULL,2003-03-08,2004-12-01,0,0,NULL,0,NULL
17,0,NULL,NULL,NULL,NULL,0,NULL,2001-11-13,2001-11-13,0,0,NULL,NULL,NULL
17-5,17-5,NULL,NULL,Defense,Navy,0,NULL,2004-03-25,2004-03-25,0,0,Navy,1,NULL
1700,DEPT OF THE NAVY,NULL,DEPT OF THE NAVY,Defense,Navy,0,NULL,1988-02-04,5012-02-17,0,0,Navy,1,NULL
1708,IMMEDIATE OFFICE OF THE SECRETARY OF THE NAVY,NULL,NULL,Defense,Navy,0,NULL,2001-06-15,2004-09-30,0,0,Navy,1,NULL
1709,NAVY STAFF OFFICES,NULL,NULL,Defense,Navy,0,NULL,2003-09-30,2012-12-12,0,0,Navy,1,NULL
1710,NAVY FIELD OFFICES,NULL,NULL,Defense,Navy,0,NULL,2000-10-15,2013-09-30,0,0,Navy,1,NULL
1711,IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS,NULL,NULL,Defense,Navy,0,NULL,2000-10-15,2001-09-15,0,0,Navy,1,NULL
1712,NAVY SECRETARIAT/STAFF OFFICES,NULL,NULL,Defense,Navy,0,NULL,2001-05-15,2001-05-15,0,0,Navy,1,NULL
1714,OFFICE OF NAVAL RESEARCH,NULL,NULL,Defense,Navy,0,NULL,2000-01-15,2013-09-30,0,0,Navy,1,NULL
1715,NAVAL INTELLIGENCE COMMAND,NULL,NULL,Defense,Navy,0,NULL,2001-02-15,2005-04-25,0,0,Navy,1,NULL
1718,NAVAL MEDICAL COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2001-10-01,0,0,Navy,1,NULL
1719,NAVAL AIR SYSTEMS COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2013-11-05,0,0,Navy,1,NULL
1722,BUREAU OF NAVAL PERSONNEL,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2004-12-07,0,0,Navy,1,NULL
1723,NAVAL SUPPLY SYSTEMS COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2013-09-10,0,0,Navy,1,NULL
1724,NAVAL SEA SYSTEMS COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2013-09-24,0,0,Navy,1,NULL
1725,NAVAL FACILITIES ENGINEERING COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2103-05-07,0,0,Navy,1,NULL
1727,U.S. MARINE CORPS,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2013-09-24,0,0,Navy,1,NULL
1730,SPECIAL PROJECTS OFFICE,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2004-09-13,0,0,Navy,1,NULL
1733,MILITARY SEALIFT COMMAND,NULL,NULL,Defense,Navy,0,NULL,2000-02-15,2004-09-30,0,0,Navy,1,NULL
1739,NAVAL SPACE AND WARFARE SYSTEMS COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2003-09-15,0,0,Navy,1,NULL
1760,"U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2003-09-05,0,0,Navy,1,NULL
1761,"U.S. NAVAL FORCES, EUROPE",NULL,NULL,Defense,Navy,0,NULL,2000-02-15,2003-09-15,0,0,Navy,1,NULL
1762,NAVAL EDUCATION AND TRAINING COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2003-09-22,0,0,Navy,1,NULL
1763,NAVAL COMPUTER AND TELECOMMUNICATIONS COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2005-06-02,0,0,Navy,1,NULL
1765,NAVAL OCEANOGRAPHY COMMAND,NULL,NULL,Defense,Navy,0,NULL,2000-11-15,2003-03-15,0,0,Navy,1,NULL
1767,1767,NULL,NULL,Defense,Navy,0,NULL,2005-04-14,2005-08-29,0,0,Navy,1,NULL
1769,NAVAL SECURITY GROUP COMMAND,NULL,NULL,Defense,Navy,0,NULL,2000-01-15,2001-06-15,0,0,Navy,1,NULL
1770,"U.S. PACIFIC FLEET, COMMANDER IN CHIEF",NULL,NULL,Defense,Navy,0,NULL,2000-03-15,2004-09-28,0,0,Navy,1,NULL
1772,NAVAL RESERVE FORCE,NULL,NULL,Defense,Navy,0,NULL,1999-11-15,2004-05-28,0,0,Navy,1,NULL
1774,NAVAL SPECIAL WARFARE COMMAND,NULL,NULL,Defense,Navy,0,NULL,1999-10-15,2003-09-29,0,0,Navy,1,NULL
1788,COPE,NULL,NULL,Defense,Navy,0,NULL,2003-10-08,2006-01-18,0,0,Navy,1,NULL
1791,NAVAL AIR WARFARE CENTER AIRCRAFT,NULL,NULL,Defense,Navy,0,NULL,2005-05-23,2005-08-17,0,0,Navy,1,NULL
1795,DEPARTMENT OF NAVY,NULL,NULL,Defense,Navy,0,NULL,2004-09-20,2005-10-14,0,0,Navy,1,NULL
17ZS,U.S. SPECIAL OPERATIONS COMMAND (NAVY),NULL,NULL,Defense,Navy,0,NULL,2001-02-15,2001-02-15,0,0,Navy,1,NULL
1800,POSTAL SERVICE,1800,NULL,Other Agencies,All Other Customers,0,NULL,2000-09-15,2013-08-16,0,0,All Other Customers,0,NULL
1801,SOUTHERN DIV,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1802,ACCTG DISB STA NR 660700,9700,NULL,Defense,NULL,0,NULL,2003-10-29,2004-12-13,0,0,NULL,1,NULL
1803,DEFENSE FINANCE AND ACCOUNTING SERV,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1804,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1805,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,2003-07-15,2003-07-15,0,0,NULL,1,NULL
1806,DFAS COLUMBUS CENTER,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1807,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1808,DEFENSE FINANCE AND ACCOUNTING SERV,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1809,AMERICAN RED CROSS,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1810,DEPARTMENT OF JUSTICE,NULL,NULL,NULL,NULL,0,NULL,2003-12-04,2005-09-26,0,0,NULL,NULL,NULL
1812,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1813,DEFENSE FINANCE AND ACCOUNTING SERV,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1814,STARS FUNDING ONLY,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
190,190,NULL,NULL,NULL,NULL,0,NULL,2003-11-10,2003-11-10,0,0,NULL,NULL,NULL
1900,"STATE, DEPARTMENT OF",NULL,NULL,State and IAP,State,0,NULL,1020-09-01,3013-09-04,0,0,State,0,NULL
1901,IMMEDIATE OFFICE OF THE SECRETARY OF STATE,1900,NULL,State and IAP,State,0,NULL,2004-12-09,2004-12-09,0,0,State,0,NULL
1902,OFFICE OF THE DEPUTY SECRETARY OF STATE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1903,OFFICE OF THE LEGAL ADVISER,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1904,OFFICE OF THE INSPECTOR GENERAL,1900,NULL,State and IAP,State,0,NULL,2004-11-03,2005-08-17,0,0,State,0,NULL
1905,OFFICE OF THE UNDER SECRETARY FOR MANAGEMENT,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1906,POLICY PLANNING COUNCIL,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1907,BUREAU OF LEGISLATIVE AND INTERGOVERNMENTAL AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1908,OFFICE OF POLICY AND PROGRAM REVIEW,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1910,OFFICE OF PROTOCOL,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1913,OFFICE OF THE UNDER SECRETARY FOR POLITICAL AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1914,OFFICE OF THE UNDER SEC FOR ECON AND AGRICULTURAL AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1915,OFF OF THE UNDER SEC FOR SECURITY ASST. SCIENCE & TECH,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1916,COUNSELOR OF THE DEPARTMENT OF STATE,1900,NULL,State and IAP,State,0,NULL,2005-12-07,2005-12-07,0,0,State,0,NULL
1917,OFFICE OF EXECUTIVE SECRETARIAT,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1921,BUREAU OF AFRICAN AFFAIRS,1900,NULL,State and IAP,State,0,NULL,2007-03-21,2007-04-20,0,0,State,0,NULL
1923,BUREAU OF EAST ASIAN AND PACIFIC AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1925,BUREAU OF EUROPEAN AND CANADIAN AFFAIRS,1900,NULL,State and IAP,State,0,NULL,2007-06-21,2007-06-21,0,0,State,0,NULL
1927,BUREAU OF INTER-AMERICAN AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1929,BUREAU OF NEAR EASTERN AND SOUTH ASIAN AFFAIRS,1900,NULL,State and IAP,State,0,NULL,2013-07-24,2013-08-06,0,0,State,0,NULL
1930,BUREAU OF CONSULAR AFFAIRS,1900,NULL,State and IAP,State,0,NULL,2003-11-05,2006-08-10,0,0,State,0,NULL
1933,BUREAU OF ECONOMIC AND BUSINESS AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1936,BUREAU OF HUMAN RIGHTS HUMANITARIAN AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1937,BUREAU OF ADMINISTRATION,1900,NULL,State and IAP,State,0,NULL,2009-12-04,2009-12-04,0,0,State,0,NULL
1938,BUREAU OF DIPLOMATIC SECURITY,1900,NULL,State and IAP,State,0,NULL,2004-10-01,2008-09-30,0,0,State,0,NULL
1939,BUREAU OF INTELLIGENCE AND RESEARCH,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1942,BUREAU OF INTERNATIONAL NARCOTICS MATTERS,1900,NULL,State and IAP,State,0,NULL,2010-01-12,2010-01-12,0,0,State,0,NULL
1943,OFFICE OF INFORMATION RESOURCES MANAGEMENT,1900,NULL,State and IAP,NULL,0,NULL,2007-11-27,2008-03-26,0,0,NULL,0,NULL
1945,BUREAU OF INTERNATIONAL ORGANIZATION AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1948,BUREAU OF OCEANS & INTL ENVIRONMENTAL & SCIENTIFIC AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1950,BUREAU OF POLITICO-MILITARY AFFAIRS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1952,BUREAU OF PUBLIC AFFAIRS,1900,NULL,State and IAP,State,0,NULL,2005-09-27,2005-09-27,0,0,State,0,NULL
1953,BUREAU OF EDUCATIONAL AND CULTURAL AFFAIRS,1900,NULL,State and IAP,NULL,0,NULL,2006-07-19,2008-09-03,0,0,NULL,0,NULL
1954,BUREAU OF REFUGEE PROGRAMS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1956,ASSISTANT SECRETARY FOR VERIFICATION AND COMPLIANCE,1900,NULL,State and IAP,NULL,0,NULL,2006-06-19,2009-06-23,0,0,NULL,0,NULL
1958,OFFICE OF U.S. AMBASSADOR TO THE UNITED NATIONS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1961,U.S. NATIONAL COMMISSION FOR UNESCO,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
1963,DFAS ROME,9700,NULL,Defense,NULL,0,NULL,2004-02-23,2005-02-24,0,0,NULL,1,NULL
1965,DFAS INDIANAPOLIS CENTER,9700,NULL,Defense,NULL,0,NULL,2004-05-25,2005-10-20,0,0,NULL,1,NULL
1966,ARMY CORPS OF ENGINEERS CIVIL WORKS,9700,NULL,Defense,Army,0,NULL,2003-12-22,2013-07-30,0,0,Army,1,NULL
1967,DFAS LAWTON,9700,NULL,Defense,NULL,0,NULL,2004-02-11,2004-02-11,0,0,NULL,1,NULL
1968,DEPARTMENT OF THE ARMY,9700,NULL,Defense,NULL,0,NULL,2001-10-24,2006-01-19,0,0,NULL,1,NULL
1969,DFAS INDIANAPOLIS CENTER,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1979,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1980,DFAS SAN ANTONIO,9700,NULL,Defense,NULL,0,NULL,2004-01-26,2005-08-18,0,0,NULL,1,NULL
1983,DFAS INDIANAPOLIS CENTER,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1988,DFAS LAWTON,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1990,ACCTG DISB STA NR 660700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1991,AMERICAN INSTITUTE IN TAIWAN,1900,NULL,State and IAP,NULL,0,NULL,2006-08-21,2006-08-23,0,0,NULL,0,NULL
1993,ASIS FOUNDATION,1900,NULL,State and IAP,NULL,0,NULL,NULL,NULL,0,0,NULL,0,NULL
1994,DFAS INDIANAPOLIS CENTER,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1995,ACCTG DISB STA NR 525700,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1996,DFAS INDIANAPOLIS CENTER,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1997,XR HQ USMEPCOM,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
1998,DFAS-SL-EC,9700,NULL,Defense,NULL,0,NULL,NULL,NULL,0,0,NULL,1,NULL
19AA,INTER-AMERICAN INSTITUTE FOR COOPERATION ON AGRICULTURE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19AG,PAN-AMERICAN INSTITUTE OF GEOGRAPHY AND HISTORY,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19AH,PAN-AMERICAN HEALTH ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19AN,INTER-AMERICAN INDIAN INSTITUTE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19AR,PAN-AMERICAN RAILWAY CONGRESS ASSOCIATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19AS,ORGANIZATION OF AMERICAN STATES,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19BC,INTERNATIONAL BOUNDARY COMMISSION: U.S. AND CANADA,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19BJ,INTERNATIONAL JOINT COMMISSION: U.S. AND CANADA,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19BM,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,19BM,NULL,State and IAP,State,0,NULL,2003-06-07,3013-03-15,0,0,State,0,NULL
19CB,INTERNATIONAL NATURAL RUBBER ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CC,INTERNATIONAL COTTON ADVISORY COMMITTEE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CF,INTERNATIONAL COFFEE ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CJ,INTERNATIONAL JUTE ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CL,INTERNATIONAL LEAD AND ZINC STUDY GROUP,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CR,INTERNATIONAL RUBBER STUDY GROUP,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CS,INTERNATIONAL SUGAR ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CV,INTERNATIONAL OFFICE OF VINE AND WINE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19CW,INTERNATIONAL WHEAT COUNCIL,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19EC,INTERNATIONAL AGENCY FOR RESEARCH ON CANCER,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19EM,INTERNATIONAL BUREAU OF WEIGHTS AND MEASURES,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19EP,INTERNATL CENTER FOR THE STUDY OF THE PRESERVATION & RESTORA,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19ES,INTERNATIONAL SEED TESTING ASSOCIATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19EV,INTERNATL UNION FOR PROTECTION OF NEW VARIETIES OF PLANTS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19EZ,INTERNATIONAL OFFICE OF EPIZOOTICS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FA,NORTH ATLANTIC SALMON CONSERVATION ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FE,INTERNATIONAL COUNCIL FOR THE EXPLORATION OF THE SEA,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FF,NORTH PACIFIC FUR SEAL COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FG,GREAT LAKES FISHERY COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FH,INTERNATIONAL PACIFIC HALIBUT COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FL,INTERNATL COMM FOR THE CONSERVATION OF ATLANTIC TUNAS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FN,NORTHWEST ATLANTIC FISHERIES ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FP,INTERNATIONAL NORTH PACIFIC FISHERIES COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FR,COMM FOR THE CONSERVATION OF ANTARCTIC MARINE LIVING RSRCS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FT,INTER-AMERICAN TROPICAL TUNA COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19FW,INTERNATIONAL WHALING COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19LA,INTERNATIONAL BUREAU OF THE PERMANENT COURT OF ARBITRATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19LH,HAGUE CONFERENCE ON PRIVATE INTERNATIONAL LAW,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19LM,INTERNATIONAL ORGANIZATION FOR LEGAL METROLOGY,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19LU,INTERNATIONAL INSTITUTE FOR THE UNIFICATION OF PRIVATE LAW,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19MC,U.N. MEMORIAL CEMETARY COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19ME,INTERGOVERNMENTAL COMMITTEE FOR MIGRATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19MR,INTERNATIONAL COMMITTEE OF THE RED CROSS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19NH,INTERNATIONAL HYDROGRAPHIC ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19NL,INTERNATL AGREEMENT REGARDING MAINTENANCE OF CERTAIN LIGHTS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19PC,CANADA-UNITED STATES INTERPARLIAMENTARY GROUP,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19PM,MEXICO-UNITED STATES INTERPARLIAMENTARY GROUP,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19PU,INTERPARLIAMENTARY UNION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19RA,NORTH ATLANTIC ASSEMBLY,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19RC,COLUMBO PLAN COUNCIL FOR TECHNICAL COOPERATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19RE,ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19RN,NORTH ATLANTIC TREATY ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19RP,SOUTH PACIFIC COMMISSION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19TC,CUSTOMS COOPERATION COUNCIL,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19TP,INTERNATIONAL BUREAU FOR THE PUBLICATION OF CUSTOMS TARIFFS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19TT,GENERAL AGREEMENT ON TARIFFS AND TRADE,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19TW,WORLD TOURISM ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19TX,BUREAU OF INTERNATIONAL EXPOSITIONS,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UA,INTERNATIONAL CIVIL AVIATION ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UE,INTERNATIONAL ATOMIC ENERGY AGENCY,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UF,FOOD AND AGRICULTURE ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UG,INTERNATIONAL MARITIME ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UH,WORLD HEALTH ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UL,INTERNATIONAL LABOR ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UM,WORLD METEOROLOGICAL ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UN,UNITED NATIONS (AND SPECIAL PROGRAMS),1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UP,UNIVERSAL POSTAL UNION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UT,INTERNATIONAL TELECOMMUNICATIONS UNION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
19UW,WORLD INTELLECTUAL PROPERTY ORGANIZATION,1900,NULL,State and IAP,State,0,NULL,NULL,NULL,0,0,State,0,NULL
2000,"TREASURY, DEPARTMENT OF THE",NULL,NULL,Other Agencies,Treasury,0,NULL,1999-10-15,2011-04-21,0,0,Treasury,0,NULL
2001,DEPARTMENTAL OFFICES,NULL,NULL,Other Agencies,Treasury,0,NULL,1978-10-01,3011-03-28,0,0,Treasury,0,NULL
2002,DFAS INDIANAPOLIS CENTER,9700,NULL,Other Agencies,Treasury,0,NULL,NULL,NULL,0,0,Treasury,0,NULL
2003,OFFICE OF THE GENERAL COUNSEL,2000,NULL,Other Agencies,Treasury,0,NULL,NULL,NULL,0,0,Treasury,0,NULL
2004,INSPECTOR GENERAL,NULL,NULL,Other Agencies,Treasury,0,NULL,2002-11-15,2013-10-01,0,0,Treasury,0,NULL
2005,OFFICE OF THE ASSISTANT SECRETARY (MANAGEMENT),2000,NULL,Other Agencies,Treasury,0,NULL,NULL,NULL,0,0,Treasury,0,NULL
2006,OFFICE OF THE ASSISTANT SECRETARY (ECONOMIC POLICY),2000,NULL,Other Agencies,Treasury,0,NULL,NULL,NULL,0,0,Treasury,0,NULL
2007,OFFICE OF THE ASSISTANT SECRETARY (LEGISLATIVE AFFAIRS),2000,NULL,Other Agencies,Treasury,0,NULL,2007-11-26,2009-07-09,0,0,Treasury,0,NULL
2008,OFF OF THE ASST SEC (PUBLIC AFFAIRS AND PUBLIC LIAISON),2000,NULL,Other Agencies,Treasury,0,NULL,2008-06-30,2008-11-24,0,0,Treasury,0,NULL
2009,OFFICE OF THE ASSISTANT SECRETARY (INTERNATIONAL AFFAIRS),2000,NULL,Other Agencies,Treasury,0,NULL,2003-10-27,2006-08-02,0,0,Treasury,0,NULL
