projectText	ProjectID	MinOfstartFiscalYear	MaxOfEndFiscalYear
Family Med Tact Veh (FMTV	190	NULL	NULL
Family Med Tact Veh (FMTV)	190	2003	2003
FB-111A 	1796	2007	NULL
FBCB2 	698	2004	NULL
FCA 	79	2007	NULL
FCN	1934	NULL	NULL
FCS 	1310	2004	NULL
FFG-7 	26	2006	NULL
FIM-43 REDEYE	844	1990	1992
FIM-43 REDEYE (LONGBOW)	146	1991	1991
FIRE FIGHTING 500 GPM	300	1991	1993
FIRE HIGH CAPACITY	1574	1990	1991
FIRE SPT ADA CONVERSION	470	1997	2003
FIRE SUPT TEAM VEH	248	1990	1993
FIREBRAND TARGET	867	1990	1994
FIREFIGHTING SET M530	574	1992	1992
FIREFINDER	477	1996	2008
FIV 	678	2004	2006
FLARE MJU-10	1747	1992	1992
FLOAT DRY DOCK AFDM-282	1259	1990	2003
FMTV 	1857	2001	NULL
FMU-113/B	1602	1992	1995
FMU-124	1603	1990	1991
FMU-130	1604	1992	1992
FOG-M MISSILE (FAADS NLOS	155	NULL	NULL
FOG-M MISSILE (FAADS NLOS)	155	1992	1992
FORCE PROVIDER	593	1999	2003
FORK LIFT 10000 LB DD PT 	268	NULL	NULL
FORK LIFT 10000 LB DD PT RT	268	1992	2003
FORK LIFT 15000 LB	270	1999	2001
FORK LIFT 4000 LB GE PT	267	1990	2003
FORK LIFT 50000 LB	272	1992	2010
FORK LIFT 6000 LB	889	1991	1991
FORK LIFT 6000 LB GE PT	278	1990	2003
FORK LIFT ATLAS	286	1995	2003
FORK LIFT FRONT/SIDE LOAD	287	NULL	NULL
FORK LIFT FRONT/SIDE LOADER 6K	287	1995	2003
FORKLIFT 10,000 LB	1578	1991	1997
FORKLIFT 4000 LB	1576	1991	1992
FORKLIFT 6000 LB	1577	1991	2003
FQG	2080	NULL	NULL
FRIGATE DL	1197	1989	2003
FRIGATE FF 1076	1202	1990	1995
FRIGATE FF-1049	1195	1989	2001
FRIGATE FF-1052	1201	1990	2002
FRIGATE FF-1091	1190	1990	1995
FRIGATE GD MSL-DLG	1199	1989	2003
FSCS 	684	2005	NULL
FUEL BARGE NON-SELF PROP	1304	1995	2003
FWD AREA AD CMD,CTRL&INT 	510	NULL	NULL
FWD AREA AD CMD,CTRL&INT SYS	510	1994	2003
FWD AREA ALRT RDR-FAAR	506	1990	1999
FWD AREA REFUELING SYS AD	594	NULL	NULL
FWD AREA REFUELING SYS ADV AVN	594	1999	2011
GAE	2081	NULL	NULL
GAJ	1937	NULL	NULL
GAU-5 MACHINE GUN	1587	1991	2003
GAV	2082	NULL	NULL
GBI - GROUND BASED INTERC	166	NULL	NULL
GBI - GROUND BASED INTERCEPTOR	166	1994	2003
GBR - GROUND BASED RADAR	1921	2001	NULL
GBR -GROUND BASED RADAR	167	1995	NULL
GBS 	648	2004	NULL
GBSD	2187	2018	NULL
GBU-15	1597	1990	2003
GCA	1939	NULL	NULL
GCCS-A	1983	2008	2012
GCCS-AF	1997	2006	NULL
GCCS-J 	1949	2004	NULL
GCCS-M	1975	2004	NULL
GCH	2083	NULL	NULL
GCI	1941	NULL	NULL
GCSS ARMY 	1345	2004	2010
GCSS DOD 	1352	2004	2013
GCSS-A INC 1	2178	2018	NULL
GCSS-A INC 2	2188	2017	NULL
GCSS-AF 	1346	2004	2006
GCSS-AT	1969	2004	2009
GCSS-CC/JTF	1998	2010	NULL
GCSS-MC	1990	2011	NULL
GEN SET, SMOKE, MECH XM15	569	NULL	NULL
GEN SET, SMOKE, MECH XM157	569	1994	2001
GENERATING PLNTS TRL MTD 	567	NULL	NULL
GENERATING PLNTS TRL MTD GB1	567	1991	2000
GEODSS	1607	1990	2003
GF-4473 SDC ARRAY MULTIP 	1029	NULL	NULL
GF-4473 SDC ARRAY MULTIP SET	1029	1990	1997
GFD	2084	NULL	NULL
GFEBS	1986	2008	2013
GGU-71A OBOGS OXY CONCENT	1163	NULL	NULL
GGU-71A OBOGS OXY CONCENTRATOR	1163	2003	2003
GHI	2085	NULL	NULL
GHR	1943	NULL	NULL
GHT	2086	NULL	NULL
GHY	2087	NULL	NULL
GIB	1944	NULL	NULL
GIGBE 	1981	2007	2009
GIH	2088	NULL	NULL
GIL	2089	NULL	NULL
GLCM	2218	NULL	NULL
GLOBAL HAWK 	659	2004	NULL
GMLRS 	667	2002	NULL
GNF	2090	NULL	NULL
GNL	2091	NULL	NULL
GNP	2092	NULL	NULL
GNW	2093	NULL	NULL
GOGGLES AN/PVS-5	555	1990	2001
GPALS (SDS) 	1	2006	NULL
GPS III 	696	2007	NULL
GPU-5A 3UMM POD	1586	1992	2002
GRENADE LAUNCHER 40MM M40	823	NULL	NULL
GRENADE LAUNCHER 40MM M406	823	NULL	NULL
GROUND BASED COMMON SENSO	478	NULL	NULL
GROUND BASED COMMON SENSOR	478	1997	2003
GROUND COMMAND POST	475	2003	2003
GRU	1945	NULL	NULL
GSS	2094	NULL	NULL
GSSI GRND SUP SYS INTEG	1618	1990	2003
GTN	1964	2004	2004
GTN-21	1985	2008	2009
GTP	2095	NULL	NULL
GUARDRAIL COMMON SENSOR	440	1997	NULL
GUIDED MISSILE SHIP-AVM	1260	1992	1994
GUIDED MSL LAUNCH MK-13	828	1990	2003
GUIDED MSL LAUNCH MK-26	827	1990	1996
GUIDED MSL LAUNCH MK-41	822	1990	NULL
GUIDED MSL LAUNCH MK-49	824	1992	1995
GUIDED MSL LAUNCH MK-73	829	1990	2010
GUPPY I SUBMARINE	1149	1991	2000
GWEN	1647	1990	1990
GYI 	1947	NULL	NULL
GYY	1948	NULL	NULL
GYZ	2096	NULL	NULL
H. MOB. MP WHEELED VEH (H	189	NULL	NULL
H. MOB. MP WHEELED VEH (HMMWV)	189	1994	2009
H/LGM 25 TITAN	1524	1990	NULL
H-1 UPGRADE 	2	2004	NULL
H100-T400-CP400 PT-6T-3	802	1990	2003
H-13 SIOUX	752	1991	2003
H-19 CHICSASAW	764	1990	1996
H-2 SEASPRITE	93	1993	1993
H-3 JOLLY GREEN GIANT	1456	1990	2009
H-3 SEA KING	1455	1990	2003
H-34 SEAHORSE/SEABAT	767	1990	1995
H-37 MOJAVE	768	1991	1996
H-43 HUSKIE	759	1992	1994
H-46 SEA KNIGHT	754	1989	2013
H-51	100	1991	1994
H-52	755	1992	1998
H-57 SEARANGER	761	1990	2003
HAEUAV 	701	2005	NULL
HAND FRAG ALL TYPES	377	1992	1992
HAND GRENADES ALL TYPES	378	1996	2003
HANGER AIRCRAFT	1771	1990	2001
HARM (AIR FORCE) 	30	2007	NULL
HARM (NAVY) 	29	2007	2013
HARM(F)	30	1972	NULL
HARM(N)	29	1972	NULL
HARPOON 	31	2006	NULL
HAVE QUICK	1626	1990	1990
HAWK IMPROVED 	1312	2007	NULL
HDBTDC 	686	2008	2008
HEATER H-1	1772	1990	2000
HEAVY EQ XM523/524 M123/1	264	NULL	NULL
HEAVY EQ XM523/524 M123/15	264	1989	1993
HELICOPTER NEW TRAINING	123	1999	2003
Hellfire	2215	1972	NULL
HELLFIRE MODULAR MSL SYS	169	1990	2003
HELMET SYSTEM HGU-51/PCD	1773	1990	2009
HFAJ 	1861	2008	NULL
HH-53 SUPER JOLLY	1901	1990	NULL
HHD-60 	621	2007	NULL
HIGH MOBILITY TRAILER	261	1994	2003
HIMARS 	1361	2005	NULL
HLR 	1382	2004	NULL
HMMLTV 	656	2004	NULL
HMMWV	1927	2002	2008
HOSPITAL SHIP-AH	1261	1989	2009
HPCM 	1349	2004	NULL
HURRICANE KATRINA	2017	2005	NULL
HURRICANE RITA	2018	2005	2012
HUSH HOUSE	1758	1990	2003
HVY EXPANDED MOB. AMMO TR	257	NULL	NULL
HVY EXPANDED MOB. AMMO TRAILER	257	1994	1999
HVY EXPANDED MOB. TAC TRU	258	NULL	NULL
HVY EXPANDED MOB. TAC TRUCK	258	1994	2010
HYDRAULIC TEST STAND MK-3	1774	NULL	NULL
HYDRAULIC TEST STAND MK-3A	1774	1994	1998
I0-360D	1496	1992	1993
IAA	2097	NULL	NULL
ICEBREAKER-AGB	1262	1993	2003
IDECM	1803	NULL	NULL
IDHS INTELLIGENCE DATA HA	1729	NULL	NULL
IDHS INTELLIGENCE DATA HANDL	1729	1990	NULL
ILS-S	1973	2008	NULL
IMAGERY PROCESSING SYSTEM	544	1996	2003
IMDS	1974	2008	NULL
IMPROVED MORTAR BALLISTIC	335	NULL	NULL
IMPROVED MORTAR BALLISTIC COMP	335	2003	2003
IMPROVED RADAR SIMULATOR	1681	1990	2002
IMPROVED TARGET ACQ SYS	162	1994	2009
IMPRVD CHEMICAL AGENT MON	577	NULL	NULL
IMPRVD CHEMICAL AGENT MONITOR	577	1994	2003
IMPULSE ARD-863-1	1595	1993	2003
INDUSTRIAL WHEELED	1562	1990	1991
INDUSTRIAL(WHEELED)MEDIUM	255	1992	1992
INLAND PETROLEUM DIST SYS	578	NULL	NULL
INLAND PETROLEUM DIST SYSTEM	578	1995	2010
INSTR TRK FBM TAGM-22	1265	1994	1995
INSTRMNTN MSL RNG-AGM-13	1264	1990	1998
INSTRMNTN MSL RNG-AGM-9/1	1263	NULL	NULL
INSTRMNTN MSL RNG-AGM-9/10	1263	1992	1992
INTEGRATED MET SYS SENSOR	545	NULL	NULL
INTEGRATED MET SYS SENSORS	545	2003	2003
INTGR FAMILY OF TEST EQUI	492	NULL	NULL
INTGR FAMILY OF TEST EQUIPMENT	492	1995	2013
IPPS-A INC 2	2183	2017	NULL
IRST	2189	2017	NULL
ISPAN	1963	2008	2010
ITEP	2185	2018	NULL
IUS	1539	1976	NULL
IUS FULL SCALE DEVELOP SY	1539	NULL	NULL
IUS FULL SCALE DEVELOP SYS	1539	1990	2003
J-33	1482	1992	1992
J-52	803	1989	2003
J-57	808	1990	2001
J-58	1483	1990	2003
J-60	805	1990	2000
J-65	804	1990	2002
J-69	1485	1990	2003
J-75	1487	1990	1999
J-79	809	1990	2003
J-85	810	1990	2013
J9-C TANKER ACT CONV OF 7	1462	NULL	NULL
J9-C TANKER ACT CONV OF 707	1462	1990	1990
JASSM 	1832	2004	NULL
JAST/JSF	87	1997	2011
JAVELIN	685	1994	2003
JCALS	1954	2004	NULL
JCC(X) 	1331	2004	2010
JDAM 	1808	2004	NULL
JLENS 	1366	2004	NULL
JMPS	1988	2010	NULL
JOINT C2	2184	2018	NULL
JOINT COMMON MISSILE 	1364	2004	NULL
JOINT TAC INFO DIST SYS/T	1646	NULL	NULL
JOINT TAC INFO DIST SYS/TERM P	1646	1990	2003
JOINT TACTCL INF DSPLY SY	1643	NULL	NULL
JOINT TACTCL INF DSPLY SYS ASI	1643	1990	2003
JPALS 	649	2004	NULL
JPATS 	1834	2000	NULL
JSF (F-35) 	87	2003	NULL
JSIMS 	1337	2005	NULL
JSOW 	1862	2001	NULL
JSOW-AGM-154	873	1997	2003
JSTARS 	679	1982	NULL
JSTARS GND STATION MODULE	483	1994	2013
JSTARS RECAP	2191	2018	NULL
JT3D-3	1490	1990	1994
JT8D TURBOFAN ENGINE	814	2001	2002
JT8D-9	1491	1991	1994
JTIDS (ARMY) 	66	2004	2012
JTIDS (NAVY) 	67	2006	NULL
JTIDS(A)	66	1976	NULL
JTIDY (AIR FORCE) 	68	2007	2013
JTRS AMF 	1374	2003	NULL
JTRS CLUSTER 1 	1356	2004	NULL
JTRS CLUSTER 5 	1378	2008	NULL
JTRS Cluster 5 (HMS)	1378	NULL	NULL
JTRS WAVEFORM 	689	2004	NULL
JTUAV 	1811	2009	NULL
KC-10A 	625	2007	NULL
KC-135 STRATOLIFTER	1419	1990	2012
KC-135R 	77	2004	NULL
KC-45A	1380	2011	NULL
KC-46A	1380	NULL	NULL
KIOWA WARRIOR 	70	2005	NULL
KMI	2001	2008	NULL
L-188 LOCKHEED ELECTRA CO	776	NULL	NULL
L-188 LOCKHEED ELECTRA COMM	776	1992	2003
LAB PETROLEUM MODULAR BAS	595	NULL	NULL
LAB PETROLEUM MODULAR BASE	595	2001	2003
LACV-30 AIR CUSH VEH 25-3	193	NULL	NULL
LACV-30 AIR CUSH VEH 25-30T	193	1991	1994
LAMPS	1016	1972	2003
LAMPS MKIII (SH-60B) 	32	2006	NULL
LAND COMBAT SUPT SYS (LCS	412	NULL	NULL
LAND COMBAT SUPT SYS (LCS)	412	1990	2003
LAND WARRIOR 	692	2004	NULL
LANDING CRAFT AIR CUSHION	1216	NULL	NULL
LANDING CRAFT AIR CUSHION LCAC	1216	1991	2004
LANDING CRAFT LCU	1219	1989	2003
LANDING SHIP DOCK-LSD	1223	1989	2011
LANDING SHIP MEDIUM-LSM	1224	1991	1991
LANDING SHIP TANK-LST	1225	1990	2002
LANDING VEH TRACKED AMPHI	197	NULL	NULL
LANDING VEH TRACKED AMPHIB	197	1991	2003
LANTIRN	1627	1990	NULL
LANTRIN 	82	2007	NULL
LASER HELLFIRE 	9	1998	2003
LAUNCH SHIP SATELLITE-AGS	1266	NULL	NULL
LAUNCH SHIP SATELLITE-AGSL	1266	1993	1993
LAUNCHER LAU-3A	1519	1991	1991
LAUNCHER TNK CHASSIS M60/	192	NULL	NULL
LAUNCHER TNK CHASSIS M60/AVB	192	1991	1993
LAUNCHER, ROCKET 2.75	175	2002	2003
LAV (ARMY) 	71	2006	NULL
LAV (NAVY) 	1863	2005	NULL
LAV(A)	71	NULL	NULL
LAV(N)	1863	NULL	NULL
LCAC 	627	2006	NULL
LCAC-1	1216	NULL	NULL
LCS 	1368	2004	NULL
LGM-30 MINUTEMAN	1532	1990	2011
LHA 	33	2007	2013
LHA ( R ) 	1332	2004	NULL
LHA (Assault Ship)	1215	NULL	NULL
LHD 1 	628	2004	NULL
LIFT MJ-1B	1583	1991	1996
LIGHT ARMORED VEHICLE (LA	249	NULL	NULL
LIGHT ARMORED VEHICLE (LAV)	249	1990	2013
LLLBGK 	626	2007	2007
LMP	2002	2008	2012
LNT 5/ INERT NAV AID	1030	1990	1996
LOADER A/C 25K	1580	1991	2002
LOADER A/C 40K	1568	1991	2013
LOADER SCOOP TYPE 4-6 CU 	222	NULL	NULL
LOADER SCOOP TYPE 4-6 CU YD	222	1990	2003
LONGBOW APACHE 	1872	1995	2013
LONGBOW APACHE BLK III 	616	2007	NULL
LONGBOW HELLFIRE 	1824	1997	2003
LOW BED 52 1/2 TON M747	228	1990	2003
LOW SPEED(FT)DIESEL MEDIU	252	NULL	NULL
LOW SPEED(FT)DIESEL MEDIUM	252	1991	2002
LPD 17 	1825	2004	NULL
LSD 41 CARGO VAR 	1864	2008	2008
LSD-41 	629	2007	2010
LTH TRAINER	763	1990	2001
LUH 	78	2006	NULL
LVTC-7	883	1992	NULL
LVTP-7	882	1990	NULL
LW MAN-TRANSP RADIO DIR F	479	NULL	NULL
LW MAN-TRANSP RADIO DIR FND SY	479	2003	2003
M 32-60A	1756	1990	1996
M-1 (Abrams)	53	1972	NULL
M-1 COMBAT 105MM GUN (ABR	241	NULL	NULL
M-1 COMBAT 105MM GUN (ABRAMS)	241	1990	1993
M1/M1A1 ABRAMS TANK 	53	2004	NULL
M101A1 105MM LT TOWED HOW	322	1991	2003
M102 105MM LT TOWED HOW	327	1990	2003
M107 GUN 175MM	898	1991	1991
M-109	328	1984	NULL
M109 155MM MED SP HOW	329	1990	2010
M109 155MM SP HOWITZER	328	1990	1993
M110 8'' SP HOWITZER	324	1990	1993
M114A2 155MM TOWED HOW	323	1992	1992
M-12 (AIMS) IFF	944	1990	2002
M128 MINE DISPENSER	382	1991	1993
M14 7.62 MM RIFLE	339	1991	1993
M16 5.56 MM RIFLE	338	1991	2003
M18 AP MINE	380	NULL	NULL
M198 155MM TOWED HOW	326	1990	2003
M198 TOWED HOWITZER (155M	34	NULL	NULL
M198 TOWED HOWITZER (155MM) 	34	2006	NULL
M1A2 UPGRADE	251	1994	1994
M-2 IFV (BRADLEY)	246	1990	1993
M-3 CFV (BRADLEY)	247	1990	1993
M-48 TANK	240	1990	1993
M483 155MM PROJECTILE	395	1991	1993
M485 155MM ILLUM PROJ	389	NULL	NULL
M509 8" DPICM	396	1991	1996
M-551 RANGE FINDER LASER	422	1991	2002
M-60 COMBAT 105MM GUN	239	1989	2003
M-60 COMBAT 152MM GUN	238	1990	1993
M60 TANK	887	1990	1992
M60A2 TANK 	1800	2007	NULL
M650 E5 8"	386	1991	1991
M712 155MM	393	1991	1992
M718/M741 ISS MM AT	392	1991	1993
M72 66MM HEAT ROCKET	174	NULL	NULL
M-728 COMBAT	243	1991	1993
M731/M692 155MM	387	1991	1993
M735 PROJECTILE	391	1991	1991
M737 PROJECTILE	394	NULL	NULL
M739	375	1992	1992
M-77 DRAGON	150	1990	2002
M-81 FIRE CONTROL SYSTEM	932	1990	1994
M-82 BOMB GP	341	NULL	NULL
M825 155MM SMOKE SCREENIN	397	NULL	NULL
M825 155MM SMOKE SCREENING	397	1991	1993
M-857 SEMI-TRAILER	233	1990	2003
M871 22.5 TON	235	1990	2003
M872 34 TON	236	1992	2009
M89	2098	NULL	NULL
MAC C3 SUPPORT	1776	1990	2000
MACC2IPS	1634	1991	1991
MANEUVER CONTROL SYSTEM (	509	NULL	NULL
MANEUVER CONTROL SYSTEM (MCS)	509	1992	2000
MARK XII PROGRAM	981	1990	2011
MASK PROTECTIVE FIELD ABC	572	NULL	NULL
MASK PROTECTIVE FIELD ABCM17	572	1991	1993
MASK, AIRCREW (M43/M43A1/	580	NULL	NULL
MASK, AIRCREW (M43/M43A1/M45)	580	1995	1999
MASK, PROTECTIVE NBC ALL 	579	NULL	NULL
MASK, PROTECTIVE NBC ALL TYPES	579	1994	2003
MATCALS	979	1990	2003
MAVERICK (IR) 	35	2008	NULL
MAVERICK (LASER) 	1309	2005	2012
MAVERICK (TV) 	1321	2007	2007
MBT-70 152MM GUN	245	1991	1993
MCM 1 	1865	2006	NULL
MCS (ATCCS) 	1854	2004	NULL
MD-4	1755	1991	1994
METEOROLOGICAL MEASURING 	480	NULL	NULL
METEOROLOGICAL MEASURING SYS	480	1995	2003
MGM-29 SERGEANT	142	1990	1990
MGM-31 PERSHING	143	1990	1993
MGM-52 LANCE	147	1990	1993
MGM-71 TOW	149	1990	2013
MH53E SEA DRAGON	762	1990	2010
MH-60R 	84	2004	NULL
MH-60S	687	2004	NULL
MIDS	2211	NULL	NULL
MIDS-LVT 	1831	2001	NULL
MILSTAR 	1869	1991	2011
MIM-14 NIKE HERCULES	139	1990	1993
MIM-23 HAWK	141	1990	2012
MIM-72 CHAPARRAL	148	1990	2002
MINE CLEARING LINE CHG MI	384	NULL	NULL
MINE CLEARING LINE CHG MICLIC	384	1994	1994
MINE CTMS SUPPORT SHIP-MC	1226	NULL	NULL
MINE CTMS SUPPORT SHIP-MCS	1226	1989	2003
MINEHUNTER COSTL NON-MAG-	1227	NULL	NULL
MINEHUNTER COSTL NON-MAG-MHC	1227	1990	2013
MINELAYER COASTAL-MMC	1228	1990	2004
MINELAYER DESTROYER DM	1229	1990	1990
MINELAYER FLEET-MMF	1230	1990	1991
MINESWEEPER AUXILARY-MSA	1231	1990	1990
MINESWEEPER COASTAL-MSCO	1233	1990	2000
MINESWEEPER FLEET-MSF	1234	1992	1992
MINESWEEPER SPECIAL-MSS	1236	1991	1991
MINUTEMAN II 	1355	2007	NULL
MINUTEMAN III 	1795	2006	NULL
MINUTEMAN III GRP 	1311	2001	NULL
MINUTEMAN III PRP 	657	2004	NULL
MISCELLANEOUS AMMUNITION 	405	NULL	NULL
MISCELLANEOUS AMMUNITION ITEMS	405	1996	2011
MISCELLANEOUS-AG	1267	1990	2003
MISSILE DEFENSE AGENCY SU	1912	NULL	NULL
MISSILE DEFENSE AGENCY SUPPORT	1912	2000	NULL
MISSION DISTRIBUTION SYS 	1028	NULL	NULL
MISSION DISTRIBUTION SYS (MDS)	1028	1997	2003
MK 19-3 GRENADE MACHINE G	321	NULL	NULL
MK 19-3 GRENADE MACHINE GUN	321	1995	2003
MK 48 ADCAP 	36	2010	NULL
MK 48 TORPEDO 	37	2005	NULL
MK-104 PRACTICE	906	1990	2002
MK-113 FIRE CONTROL	1021	1990	2003
MK-115 HIGH EXP BOMB	907	NULL	NULL
MK-121 TGT IDENT	908	1991	1991
MK149 PHALANX	893	1989	1997
MK15 CLOSE IN WPN SYS	894	1989	2013
MK-23 TAS	1079	1990	2001
MK-27	1159	1991	2002
MK30 MOBILE TARGET	918	1990	2010
MK37 TORPEDO	919	1992	1993
MK42 MOD-10 5.54 GUN MOUN	900	NULL	NULL
MK42 MOD-10 5.54 GUN MOUNT	900	1992	2002
MK42 MOD-7 GUN MOUNT	901	1993	1993
MK42 MOD-9 5.54 GUN MOUNT	899	1990	1991
MK44 TORPEDO	920	1989	1994
MK45 MOD-O 5.54 GUN MOUNT	895	1989	NULL
MK45 TORPEDO (ASTOR)	921	1990	1993
MK46 TORPEDO LT WT ASW	922	1990	2003
MK48 TORPEDO (ADCAP)	923	1988	2011
MK50 TORPEDO	924	1990	2002
MK-55 MINE	914	1990	1996
MK-56 MOD 2 ROCKET MTR	879	1991	2000
MK-56 ROCKET MOTOR	1156	1992	2000
MK-57 MINE SUB LAID MOORE	915	NULL	NULL
MK-57 MINE SUB LAID MOORED	915	1990	1991
MK60 CAPTOR	925	1990	1995
MK65 ANALOG DIGT CONVERTO	956	NULL	NULL
MK65 ANALOG DIGT CONVERTOR	956	1991	1991
MK-65 MINE	916	1990	1990
MK71 MCLWG GUN MOUNT	902	1989	1996
MK74 FIRE CONTROLS SYS	977	1990	2000
MK75 76MM GUN MOUNT	903	1990	2001
MK75 MOD3 RANGE FINDER	948	1994	2000
MK76 GD MSL FIRE CTRL SYS	974	1991	1994
MK-82 500 LB	1592	1993	2003
MK82 WPN DATA CONVERTER	971	1990	1992
MK-84 GEN PURPOSE	909	1990	1991
MK-84 GENERAL PURPOSE	342	1991	1993
MK86 GUN FIRE CTRL SYS	952	1990	2002
MK92 FIRE CONTROL SYS	975	1990	2003
MK-II SINS INERTIAL INSTR	1157	1990	1991
MLR 	1835	2008	2011
MLRS 	28	2004	NULL
MLRS - MULTIPLE LNCH ROCK	164	NULL	NULL
MLRS - MULTIPLE LNCH ROCK SYS	164	1995	2013
MLRS-TGW 	658	2007	NULL
MLS 	670	2007	2011
MLV II MEDIUM LAUNCH VEHI	1518	NULL	NULL
MLV II MEDIUM LAUNCH VEHICLE	1518	1991	1992
MMA 	1333	2004	NULL
MNSWEEPER COSTL NON-MAG-M	1232	NULL	NULL
MNSWEEPER COSTL NON-MAG-MSC	1232	1990	1990
MNSWEEPER OCEAN NON-MAG-M	1235	NULL	NULL
MNSWEEPER OCEAN NON-MAG-MSO	1235	1989	2000
MNVR	2186	2018	NULL
MOBILE ARRESTING BARRIERS	1777	1990	2003
MOBILE SUBSCRIBER EQUIP	535	1995	NULL
MODERNIZATION	1778	1990	2003
MORTAR CARRIER M-106	217	NULL	NULL
MORTAR FIRE CTRL SYSTEM	336	1996	2003
MOTIF	1705	1991	2000
MP RTIP 	697	2004	NULL
MPF 	1334	2004	NULL
MPS 	1385	2008	2009
MQ-8 Fire Scout	660	NULL	NULL
MQM-36 TARGET DRONE	835	1991	2002
MQM-39	851	1990	1997
MQM-40/42 REDHEAD/ROADRUN	145	NULL	NULL
MQM-40/42 REDHEAD/ROADRUNNER	145	1990	1990
MQM-74	862	1990	NULL
MROI	2148	2016	NULL
MSE 	662	2007	NULL
MULT LNCH ROCKET SYS	178	1990	2011
MULTI SYS TEST EQUIP (MTE	411	NULL	NULL
MULTI SYS TEST EQUIP (MTE)	411	1991	2003
MULTIPLE LAUNCH ROCKET SY	1923	NULL	NULL
MULTIPLE LAUNCH ROCKET SYSTEM	1923	2001	2009
MULTISTOP 1-T	1584	NULL	NULL
MUOS 	1343	2004	NULL
M-X CMD CTRL & COMM SYS	1640	1990	1993
MX-9644 IMAGE INTENSIFIER	427	1990	1999
MX-MISSILE	1538	1990	2003
N WARNING SYS PROG/EX DEW	1743	NULL	NULL
N WARNING SYS PROG/EX DEWLINE	1743	1990	2000
N23	1999	NULL	NULL
N40	2099	NULL	NULL
N78	2100	NULL	NULL
N87	2101	NULL	NULL
N88	2102	NULL	NULL
NAS 	1823	2004	NULL
NATO AAWS 	1859	2008	2009
NATO AGS/NATO JSTARS	2028	NULL	NULL
NATO PHM 	39	2011	NULL
NAVSTAR	1613	1990	2012
NAVSTAR GPS	62	2002	NULL
NAVY AREA TBMD 	1840	2005	NULL
NAVY EPS	2194	2018	NULL
NAVY ERP	1987	2006	NULL
NCES 	664	2007	NULL
NEMAIS	2004	2008	NULL
NESP 	1829	2004	2012
NGEN INC 1	2200	2017	NULL
NH-41 SENECA	110	1990	1993
NMD 	1877	2004	NULL
NMT	695	2015	NULL
NOE COMM EQUIP	456	1993	2003
NOISE SUPPRESSOR	1779	1990	1990
NON-SYSTEM TRAINING DEVIC	609	NULL	NULL
NON-SYSTEM TRAINING DEVICES	609	1995	2003
NPOESS 	650	2004	NULL
NPOESS (DOC/NOAA)	1731	2000	2003
NSIPS	1965	2004	2009
NTCSS	1966	2007	2009
NTW 	674	2004	2013
NV LASER SYSTEMS	547	1994	2003
NV THERMAL SYSTEMS	548	1995	2003
O-2	1463	1991	2003
OCX	2181	2018	NULL
OH-5/6 PAWNEE	96	NULL	NULL
OH-58 KIOWA (AHIP)	1898	1990	NULL
OH-6 CAYUSE	95	1990	1993
OILER REPLENISHMENT-AOR	1269	1989	1997
OILER-AO	1268	1989	2003
OJ-172 DATA EXC AUX CONSO	964	NULL	NULL
OJ-172 DATA EXC AUX CONSOLE	964	1990	1995
OMEGA (SHORE)	985	1992	1992
OPERATIONAL CONTROL CENTE	1140	NULL	NULL
OPERATIONAL CONTROL CENTERS	1140	1990	2001
OPTION GRND COMM NETWORK	1642	1990	2003
OTH-B	1703	1992	1992
OTH-B RADAR 	638	2008	NULL
OTHER ENVIRONMENTAL PROGR	2115	NULL	NULL
OTHER ENVIRONMENTAL PROGRAMS 	2115	1995	2013
Other Social Services	1936	NULL	NULL
OTHR (OVER THE HORIZON RA	1082	NULL	NULL
OTHR (OVER THE HORIZON RADAR)	1082	1991	2003
OU/BQH-5 SIGNAL CONVERTER	960	1989	1997
OV-1 MOHAWK	128	1990	2010
OV-10 COIN (NOW BRONCO)	796	1990	2003
OV-10 LARA (NOW BRONCO)	1480	1990	2003
P-2 NEPTUNE	777	1993	1994
P-3 ORION	778	1989	2013
P-3C 	1324	2006	NULL
P-3C Mod	2222	NULL	NULL
PAC-3 MSE	2147	2014	NULL
PACER BOUNCE HF RADIO	1781	1990	1995
PACER SPEAK	1780	1990	2000
PALLETIZED LOADING SYSTEM	187	1994	2003
PALLETIZED LOADING SYSTEM  PLS	187	1995	2003
PANEL 1 TON 4X2	1571	1992	1996
PATRIOT 	7	2004	NULL
PATRIOT MISSILE SYS	1916	1990	NULL
PATRIOT PAC-3 	44	2004	NULL
PATRIOT/MEADS 	1819	2010	NULL
PATROL AIR CSHN VEHICLE-P	1239	NULL	NULL
PATROL AIR CSHN VEHICLE-PACV	1239	1992	1992
PATROL BOAT FAST-PTF	1240	1990	2003
PATROL BOAT RIVER PBR	1245	1991	2000
PATROL CFT COSTL FAST-PCF	1241	1990	2003
PATROL GUNBOAT HYDROFOIL-	1244	NULL	NULL
PATROL GUNBOAT HYDROFOIL-PGH	1244	1991	1994
PATROL GUNBOAT-PG	1243	1990	1994
PATROL HYDROFOIL MSL PHM	1237	1990	1995
PAVEPAWS	1684	1990	2000
PCTE	2193	2018	NULL
PEACE HAWK	1629	1990	2003
PEACE QUIET	1630	1991	1997
PEACE SHIELD PROGRAM	1631	1991	2003
PEACEKEEPER 	636	2012	2012
PEACEKEEPER MISSILE	1547	1990	2009
PEACEKEEPER RAIL GARRISON	1552	1991	1999
