vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	1	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CYM	CAYMAN ISLANDS	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	1	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	1	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	1	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
idvagencyid	MaxOfNewFKparent_award_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
W90E9E	HQ, 3D BRIGADE, 102D TRAINING DIVIS	1	W76P 0003 BDE CM	0	Office.ContractingOfficeCode
W90EDQ	W6DY PEO EIS PICATINNY	1	W6DY PEO EIS	0	Office.ContractingOfficeCode
W90ER2	0018 MP HHC    HHC MP BRIGADE	1	18TH MILITARY POLICE BDE HHC	0	Office.ContractingOfficeCode
W90EVL	W92A NEARNG TRNG CTR, ASHLAND	1	0234 SC CO     SIG CO	0	Office.ContractingOfficeCode
W90EXJ	W4HU TC DET BLACK SEA-TU	1	W4HU TURKEY DETACHMENT	0	Office.ContractingOfficeCode
W90F5X	W1D1 NATICK SLDR CNTR ORLANDO	1	W6EY SIMULATION TNG & TECH CTR	0	Office.ContractingOfficeCode
W90F72	0274 TC TM     MOVEMENT CONTRO	1	0274 TC TM     HOME DET	0	Office.ContractingOfficeCode
W90G68	HHC, 109TH SUPPORT GROUP	1	0109 CS HHD    HHD REGIONAL SU	0	Office.ContractingOfficeCode
W90G8R	ARNG STAFF ELEMENT, JOINT FORCE HEA	1	W8A0 IAARNG ELEMENT, JF HQ	0	Office.ContractingOfficeCode
W90GC9	0005 FA DET    BATTLEFIELD COO	1	0005 FA DET    BATTLFLD COORD	0	Office.ContractingOfficeCode
W90GEC	W3YT HQ TRADOC COMMAND GRP	1	W3YT COMMAND GRP	0	Office.ContractingOfficeCode
W90GLY	0005 EN TM     GEOSPATIAL PLAN	1	NULL	0	Office.ContractingOfficeCode
W90GPM	ARNG TRAINING SITE CAMP SHELBY	1	W7LZ CP SHELBY DET MS ARNG	0	Office.ContractingOfficeCode
W90GSJ	W6DW PEO CS&CSS	1	W6DW PEO CSCSS	0	Office.ContractingOfficeCode
W90GTX	154TH REGIMENT - MISSISSIPPI ARNG R	1	0114 FA BN  02 BTY B DET 1	0	Office.ContractingOfficeCode
W90GUD	66TH TROOP COMMAND	1	W78N 66TH TRP CMD	0	Office.ContractingOfficeCode
W90GUG	154TH REGIMENT - MISSISSIPPI ARNG R	1	W8GH HQ 154TH REGT (RTI)	0	Office.ContractingOfficeCode
W90GZM	W6B8 USAG RMO	1	W6B8 USAG IMA RMO	0	Office.ContractingOfficeCode
W90GZN	W6B8 USAG PAIO	1	NULL	0	Office.ContractingOfficeCode
W90GZV	W6B8 USAG DIR FMWR NAF SPT DIV	1	W6B8 USAG DIR MWR NAF SPT DIV	0	Office.ContractingOfficeCode
W90H87	HHC, 35TH SIGNAL BRIGADE	1	0035 SC HQ     HHC THEAT TAC S	0	Office.ContractingOfficeCode
W90HC8	USA CORPS OF ENGINEERS CONTINGENCY	1	W8LZ USA CPS OF ENG CONT RSP	0	Office.ContractingOfficeCode
W90HEK	W1YY BIOMETRICS	1	NULL	0	Office.ContractingOfficeCode
W90HF2	W8ZJ ND ARNG MED DET	1	NORTH DAKOTA MEDICAL DETACHMENT	0	Office.ContractingOfficeCode
W90HFH	3662D MAINTENANCE CO	1	NULL	0	Office.ContractingOfficeCode
W90HFK	0957 EN CO     CO AA REAR DET	1	XRS 0957 EN CO     ASSLT FLT BRIDG	0	Office.ContractingOfficeCode
W90HJ0	2D BATTALION, 135TH AVIATION REGIME	1	0135 AV BN  02 GENERAL SUPPORT	0	Office.ContractingOfficeCode
W90HW4	0199 CS BN     HHC T0 REAR DET	1	0199 CS BN     HHC BSB IBCT	0	Office.ContractingOfficeCode
W90HWC	0156 IN BN  02 CO A0 REAR DET	1	0156 IN BN  02 CO A RIFLE CO I	0	Office.ContractingOfficeCode
W90HWG	0156 IN BN  02 HHC T0 REAR DET	1	0156 IN BN  02 HHC REAR	0	Office.ContractingOfficeCode
W90HWL	0156 IN BN  03 CO A0 REAR DET	1	0156 IN BN  03 CO A REAR	0	Office.ContractingOfficeCode
W90HWM	0156 IN BN  03 HHC T0 REAR DET	1	0156 IN BN  03 HHC REAR	0	Office.ContractingOfficeCode
W90HWY	0256 IN HHC    HHC AA REAR DET	1	HHC, 256TH INFANTRY BRIGADE COMBAT	0	Office.ContractingOfficeCode
W90HXH	0527 EN BN     CO A0 REAR DET	1	0527 EN BN     CO A FSC ENG	0	Office.ContractingOfficeCode
W90HXK	0527 EN BN     HHC T0 REAR DET	1	0527 EN BN     HHC HHC ENGR BN	0	Office.ContractingOfficeCode
W90JVF	W6YW USALRCTR FT SILL	1	0000 IN BN  04 A CO LBE	0	Office.ContractingOfficeCode
W90JWY	W6WZ USALRCTR FT MEADE	1	W6M4 X1 AMC    LBE 1-1 AD	0	Office.ContractingOfficeCode
W90K79	ARNG STAFF ELEMENT, JOINT FORCE HQ-	1	XRSW8BP NCARNG ELEMENT, JF HQ	0	Office.ContractingOfficeCode
W90KCK	W6XH LRC YONGSAN	1	W6XL USALRCTR YONGSAN	0	Office.ContractingOfficeCode
W90L0G	W8GM HQ 421ST REGT RTI	1	XRSW8GM HQ 421ST REGT RTI	0	Office.ContractingOfficeCode
W90L3U	0101 CS HHC    HHC AA REAR DET	1	0101 CS HHC    HHC AND SPECIAL	0	Office.ContractingOfficeCode
W90L61	0101 IN HHC 01 HEADQUARTERS IN	1	HHC, 1ST BRIGADE COMBAT TEAM, 101ST	0	Office.ContractingOfficeCode
W90LSF	HEADQUARTERS, UNITED STATES ARMY, H	1	W6C6 US ARMY SPT ELE  HAWAII	0	Office.ContractingOfficeCode
W90M52	MIARNG ARMY AVIATION SUPPORT FACILI	1	W8NK MI ARNG AASF 1	0	Office.ContractingOfficeCode
W90M8A	0019 SF CO     AUG TDA	1	XRS0019 SF CO     SPT CO AUG TDA	0	Office.ContractingOfficeCode
W90MKT	411TH SUPPORT BRIGADE	1	0411 AQ HQ     CONTRACT SPT BD	0	Office.ContractingOfficeCode
W90MMT	W6ZQ NG PROF EDUCTATION CENTER	1	W39L PEC	0	Office.ContractingOfficeCode
W90MUK	W1SZ 174TH IN (CATB)	1	W1SZ 0174 IN BDE HQ	0	Office.ContractingOfficeCode
W90N0F	0174 AD BN  02 HHB MAMD BN	1	NULL	0	Office.ContractingOfficeCode
W90NCG	W934 NG     ARMY ELE JFHQ MS	1	W8SH MS ARNG FMS 7	0	Office.ContractingOfficeCode
W90NER	W6DP PEO IEW&S HUNTSVILLE	2	W6DP PEO IEWS HUNTSVILLE	0	Office.ContractingOfficeCode
W90NM5	W6B8 USAG DPW BLDG AD GRDS	1	W6B8 USAG DPW OPS BR	0	Office.ContractingOfficeCode
W90NMC	W6B8 USAG DPW ENVIR DIV	1	W6B8 USAG DPW ENVIRO DIV	0	Office.ContractingOfficeCode
W90NW0	0016 EN HHC    HHC EN BDE	2	HHC, 16TH ENGINEER BRIGADE	0	Office.ContractingOfficeCode
W90NXA	0638 CS BN     CO B AVIATION S	1	0638 CS BN     CO B0 REAR DET	0	Office.ContractingOfficeCode
W90NXU	0371 CS HHC    HHC AND SPECIAL	1	0371 CS HHC    REAR	0	Office.ContractingOfficeCode
W90P9Q	W6CB DES FIRE PROT&PREV	1	W6CB DES FIRE PROT & PREV	0	Office.ContractingOfficeCode
W90PJM	ARNG STAFF ELEMENT, JOINT FORCE HEA	1	W8AM GAARNG ELEMENT, JF HQ	0	Office.ContractingOfficeCode
W90PVW	W1E8 USAICOE 309TH MI BN	1	W1E8 USA INT SCH 309TH MI BN	0	Office.ContractingOfficeCode
W90PZC	0130 ME HSC    HSC MANEUVER EN	1	HHC, 130TH MANEUVER ENHANCEMENT BRI	0	Office.ContractingOfficeCode
W90Q5F	W8DT SPT ELE USAR CAREERS GRP	1	W8DT SPT ELE USAR CAREERS DIV	1	Office.ContractingOfficeCode
W90Q8W	HHBN, 38TH INFANTRY DIVISION	1	NULL	0	Office.ContractingOfficeCode
W90QBG	HHBN, US ARMY PACIFIC	1	0000 HQ HQ     HHBN, USARPAC	0	Office.ContractingOfficeCode
W90QKD	W6DP PEO IEW&S HANOVER	1	W6DP PEO IEWS ABERDEEN	0	Office.ContractingOfficeCode
W90QUW	W91T UTAH REC&RET	1	0142 MI BN     TM A LING TM	0	Office.ContractingOfficeCode
W90QV9	1176 TC CO     TRANS LIGHT-MDM	1	1176 TC CO     TRK LT-MDM	0	Office.ContractingOfficeCode
W90QZE	HHBN, EIGHTH ARMY AUG	1	0008 HQ HQ	0	Office.ContractingOfficeCode
W90RLB	W0DA JPPSO NORTHWEST	1	W45Q JPPSO	0	Office.ContractingOfficeCode
W90RPF	704TH MILITARY INTELLIGENCE BRIGADE	1	W001 0704 MI BDE	0	Office.ContractingOfficeCode
W90RZ9	0004 CS HHC    HHC AA REAR DET	1	HHC, 4TH SUSTAINMENT COMMAND	0	Office.ContractingOfficeCode
W90S01	W6FM USAG BAVARIA	1	W6FM USAG GRAFENWOEHR	0	Office.ContractingOfficeCode
W90S02	W6FM SITE HOH	1	W6FN USAG HOHENFELS	0	Office.ContractingOfficeCode
W90T29	W8C2 WY ARNG MED DET	1	NULL	0	Office.ContractingOfficeCode
W90T7E	MISSION SUPPORT ELEMENT, 416TH ENGI	1	W8CD 0416 CMD  MSN SPT ELE	0	Office.ContractingOfficeCode
W90TEJ	W909 NEW YORK REC&RET	1	W909 NEW YORK REC  RET	0	Office.ContractingOfficeCode
W90U5S	W6YE LRC SAMS-E MAINT DRUM	1	W0XQ MAINT BRANCH         PB01	0	Office.ContractingOfficeCode
W90UQP	W6PC PMPEO PBUSE EQP I3C2	1	W6PC PMPEO PBUSE EQP AKO	0	Office.ContractingOfficeCode
W90USG	W6DQ PEO AVN HUNTSVILLE	1	W6NJ PMPEO PBUSE EQP APACHE	0	Office.ContractingOfficeCode
W90UUF	W6YK USALRCTR FT STEWART	1	W6DM MISSION SUPPORT ACT 30	0	Office.ContractingOfficeCode
W90V5A	UNITED STATES ARMY MATERIEL SUPPORT	1	W0C3 USA MAT SPT CEN KOREA	0	Office.ContractingOfficeCode
W90V7G	W8XM UT ARNG CSMS 1	1	NULL	0	Office.ContractingOfficeCode
W90VPE	W6QK ACC- DTA	1	W6QK ACC-WRN	0	Office.ContractingOfficeCode
W90VSP	W6J8 HQ FIRST ARMY TSD EAST	1	W6J8 TRNG SPT DIV EAST	0	Office.ContractingOfficeCode
W90VUM	28TH INFANTRY DIVISION BAND	1	0109 FA BN  01 BTRY B	0	Office.ContractingOfficeCode
W90W39	W34T 434TH BDE CONTRACTS (LOG)	1	W34T A BTRY PP	0	Office.ContractingOfficeCode
W90WBX	758TH MAINTENANCE CO	1	0758 OD CO     SUPPORT MAINTEN	0	Office.ContractingOfficeCode
W90WM7	HHD, 168TH MEDICAL BATTALION	1	0168 MD BN     MED MULTIFUNCT	0	Office.ContractingOfficeCode
W90WT5	W4K7 USA ENGINEER SCHOOL	1	W4K7 CO E 35TH EN BN  P	0	Office.ContractingOfficeCode
W90X7R	HHD, 303D ORDNANCE BATTALION	1	0303 OD HHD    ORD BN EOD	0	Office.ContractingOfficeCode
W90XCV	63D READINESS DIVISION (USAR)	1	W8YL 63 AR REGIONAL SPT CMD	0	Office.ContractingOfficeCode
W90XFA	0108 AD BDE    ADA BDE HQS (TH	1	HHB, 108TH AIR DEFENSE ARTILLERY BR	0	Office.ContractingOfficeCode
W90XHF	93D CIVIL SUPPORT TEAM	1	W7M4 USPFO ACTIVITY HI ARNG	0	Office.ContractingOfficeCode
W90XN7	US ARMY SUSTAINMENT COMMAND	1	W0DA US ARMY SUSTAINMENT CMD	0	Office.ContractingOfficeCode
W90XPA	US ARMY SUPPORT ACTIVITY, SOTO CANO	1	W6Z0 USA SPT ACT SOTO CANO	0	Office.ContractingOfficeCode
W90Y58	W77B 301ST TRP CMD	1	XRSW77B TRP CMD	0	Office.ContractingOfficeCode
W90YDX	W90X MARYLAND REC&RET	1	W90X  MARYLAND REC  RET	0	Office.ContractingOfficeCode
W90YGG	0032 IN HHC    HEADQUARTERS IN	1	HHC, 32D INFANTRY BRIGADE COMBAT TE	0	Office.ContractingOfficeCode
W90YHW	0157 ME HSC    HSC MANEUVER EN	1	0157 ME HHC    HHC MANEUVER EN	1	Office.ContractingOfficeCode
W90YJL	W0UC HOUSING DIV	1	PR W0UC HOUSING DIV	0	Office.ContractingOfficeCode
W90YKW	W90X MARYLAND REC&RET	1	W90X  MARYLAND REC  RET	0	Office.ContractingOfficeCode
W90YMS	W8XY WI ARNG CSMS 1	1	W8XY  WI ARNG CSMS 1	0	Office.ContractingOfficeCode
W90YNM	US ARMY INTELLIGENCE CENTER OF EXCE	1	W1E8 INTEL COE	0	Office.ContractingOfficeCode
W90YNS	W91L WISCONSIN REC&RET	1	W91L  WISCONSIN REC  RET	0	Office.ContractingOfficeCode
W90YRL	W8GS HQ 117TH REGT RTI	1	NULL	0	Office.ContractingOfficeCode
W90YRV	W92T WIARNG TRNG CTR, SPARTA	1	W92T  WIARNG TRNG CTR, SPARTA	0	Office.ContractingOfficeCode
W90YTT	W0UC HQ CO EXCESS	1	W0UC HQ CO USA	0	Office.ContractingOfficeCode
W90YU4	0007 SC HHC    HHC SIGNAL COMM	1	0007 SC CMD    (THEATER)	0	Office.ContractingOfficeCode
W90YUQ	W6MT SOTF NWA-1	1	W6MT  SOTF NWA-1	1	Office.ContractingOfficeCode
W90YUW	HHC 106TH SIGNAL BRIGADE	1	0106 SC HHC    HHC STRAT SIG B	0	Office.ContractingOfficeCode
W90Z3U	W0QF AIDPMO SAFB	1	W4PQ AIDPMO	0	Office.ContractingOfficeCode
W90Z4N	USA PEO, ENTERPRISE INFORMATION SYS	1	W6DY PEO EIS	0	Office.ContractingOfficeCode
W90Z4Z	0226 ME HSC    HSC MANEUVER EN	1	0166 EN CO     VERTICAL CONST	0	Office.ContractingOfficeCode
W90Z7R	USA JOINT PROGRAMS EXECUTIVE OFFICE	1	W6DT PEO AMMO	0	Office.ContractingOfficeCode
W90ZAG	W6DT PEO AMMO	1	W6DX PEO GCS PICATINNY	0	Office.ContractingOfficeCode
W90ZDV	0001 AR HHC 02 HEADQUARTERS AN	1	0001 AR HHC 02 HBCT	0	Office.ContractingOfficeCode
W90ZQ2	JOINT PROGRAM EX OFC FOR CHEM, BIO,	1	W6DZ JPEO CHEM BIO DEF	0	Office.ContractingOfficeCode
W9104M	0010 SF BN  01 DET HQ DET SF B	1	0010 SF GRP    HHD DET C	0	Office.ContractingOfficeCode
W910AX	1157TH SUPPORT COMPANY	1	1157 CS CO     FORWARD SUPPORT	0	Office.ContractingOfficeCode
W910NZ	USA PEO, COMMAND CONTROL AND COMMUN	1	W6DR PEO C3T	0	Office.ContractingOfficeCode
W910U0	UNITED STATES ARMY JOINT BASE MYER-	1	W0UC DPTMS	0	Office.ContractingOfficeCode
W9114F	W40M RHCO EUROPE	1	W40M RHCO USAHCA EUROPE	1	Office.ContractingOfficeCode
W911AG	W6DP PEO IEW&S ABERDEEN	1	W6DP PEO IEWS ABERDEEN	0	Office.ContractingOfficeCode
W911H6	USA PROGRAM EXECUTIVE OFFICE, SOLDI	1	W6DS PEO SOLDIER	0	Office.ContractingOfficeCode
W911LB	W6RA CSRG EAST	1	W6RA CRRG EAST	0	Office.ContractingOfficeCode
W911N2	U S ARMY DEPOT LETTERKENNY	1	W0L6 USA DEP LETTERKENY	0	Office.ContractingOfficeCode
W911PT	USA WATERVLIET ARSENAL	1	W0K9 USA WATERVLIET ARSNL	0	Office.ContractingOfficeCode
W911RQ	U S ARMY DEPOT RED RIVER	1	W0MC USA DEP RED RIVER	0	Office.ContractingOfficeCode
W911RU	HEADQUARTERS US ARMY AVIATION&MIS	1	W0H9 US ARMY AVN & MISSLES CMD	0	Office.ContractingOfficeCode
W911W6	ACC-AVIATION APPLIED TECHNOLOGY DIR	1	W1DF AVIATION APPLIED TECH DIR	0	Office.ContractingOfficeCode
W91215	W6QK AID CONTR OFF	1	W1DF AVIATION APPLIED TECH DIR	0	Office.ContractingOfficeCode
W91221	0185 AV BN  01 CO D DET 1	1	0244 AV BN  01 DET 1 CO D	0	Office.ContractingOfficeCode
W91239	US ARMY ENGINEER DISTRICT WILMINGTO	1	XU W074 ENDIST WILMINGTON	0	Office.ContractingOfficeCode
W9125F	W6QK ACC-APG DENVER	1	NULL	0	Office.ContractingOfficeCode
W9127Q	W7NH USPFO ACTIVITY MS ARNG	1	W7NH MSARNG USPFO ACTIVITY	0	Office.ContractingOfficeCode
W9128A	US ARMY ENGINEER DISTRICT HAWAII	1	W2SN ENDIST HONOLULU	0	Office.ContractingOfficeCode
W912D2	0408 AQ HQ     CONTRACT	1	ECC PARC SOUTHWEST ASIA QATAR OFFIC	1	Office.ContractingOfficeCode
W912D4	491ST MILITARY POLICE COMPANY	1	0491 MP CO     GUARD	0	Office.ContractingOfficeCode
W912H7	USA PROGRAM EXECUTIVE OFFICE, SOLDI	1	W27P PEO SOLDIER	0	Office.ContractingOfficeCode
W912HN	US ARMY ENGINEER DISTRICT SAVANNAH	1	W074 ENDIST SAVANNAH	0	Office.ContractingOfficeCode
W912HV	US ARMY ENGINEER DISTRICT JPN	1	W2SN ENDIST JAPAN	0	Office.ContractingOfficeCode
W912NW	W6QK CCAD CONTR OFF	1	W0MU USA DEP CORPUS CHRISTI	0	Office.ContractingOfficeCode
W912UA	W0H9 BR FT CAMPBELL OLR	1	W0H9 AMCOM RESET FT CAMPBELL	0	Office.ContractingOfficeCode
W913AD	USA PEO, ENTERPRISE INFORMATION SYS	1	W6DY PEO EIS	0	Office.ContractingOfficeCode
W913D3	7TH ATC PTF HOHENFELS	1	W3VA TF FALCON HQ	0	Office.ContractingOfficeCode
W913FG	642D SUPPORT BATTALION	1	0108 IN BN  02 CO C RIFLE IBCT	0	Office.ContractingOfficeCode
W913HJ	US ARMY MARKETING AND ENGAGEMENT BR	1	W1KA USA ACCESSIONS SPT BDE	0	Office.ContractingOfficeCode
W913JH	758TH MAINTENANCE CO	1	NULL	0	Office.ContractingOfficeCode
W913TF	W6D4 USA CIV PERSONNEL ADV CTR	1	NULL	0	Office.ContractingOfficeCode
W913V3	US ARMY LOGISTICS ENTERPRISE SUPPOR	1	W2VN USA LG INNOVATION AGY	0	Office.ContractingOfficeCode
W91403	HHC, 81ST ARMORED BRIGADE COMBAT TE	1	0081 AR HHC    HBCT	0	Office.ContractingOfficeCode
W914H4	HQ AND SPECIAL TROOPS BN, 369TH SUS	1	0369 CS HHC    HHC AND SPECIAL	0	Office.ContractingOfficeCode
W914KM	W8Z6 KS ARNG MED DET	2	0130 FA BN  02 BTY A MLRS	0	Office.ContractingOfficeCode
W914M7	153D ENGINEER BATTALION	1	XUS 0216 EN TM     FFTG HQ	0	Office.ContractingOfficeCode
W914MB	W939 NG     ARMY ELE JFHQ NH	1	0197 FA HHB    HHB FIRES UA	0	Office.ContractingOfficeCode
W914MQ	730TH MEDICAL COMPANY	1	XUS 0153 EN BN     CORPS	0	Office.ContractingOfficeCode
W914TU	W92L PRARNG TRNG CTR, CP SANTI	1	0125 MP HHD    BN	0	Office.ContractingOfficeCode
W914WN	0486 CA BN     CO C CIVIL AFRS	1	0404 CA BN     HHC	0	Office.ContractingOfficeCode
W9156Y	88TH READINESS DIVISION (USAR)	1	W89Q 0088 AR REG SPT CMD	0	Office.ContractingOfficeCode
W91571	88TH READINESS DIVISION (USAR)	1	W89Q 0088 AR REG SPT CMD	0	Office.ContractingOfficeCode
W9159V	1ST BATTALION, 258TH FIELD ARTILLER	1	0258 FA BN  01 FIELD ARTILLERY	0	Office.ContractingOfficeCode
W915PW	0006 AV SQ  02 ATTACK RECONNAI	1	0006 AV SQ  02 HQS	0	Office.ContractingOfficeCode
W91633	0028 IN HHC 56 HEADQUARTERS AN	1	0028 IN HHC 56 HQTERS REAR	0	Office.ContractingOfficeCode
W9163K	W8BW PAARNG ELEMENT, JF HQ	2	0109 FA BN  01 BTRY B	0	Office.ContractingOfficeCode
W9166V	W6TF SIMO	1	0160 AV RGT    SIMO ATDA	0	Office.ContractingOfficeCode
W9166W	W6TF SOATB (HHC)	1	W6TF SOATB HQ CO	0	Office.ContractingOfficeCode
W916R1	W90A ALABAMA REC&RET	1	W90A ALABAMA REC  RET	0	Office.ContractingOfficeCode
W916R5	0079 IN HHC    HEADQUARTERS IN	1	HHC, 79TH INFANTRY BRIGADE COMBAT T	0	Office.ContractingOfficeCode
W916TX	US ARMY CORPS OF ENGINEERS FINANCE	1	W1J5 USACE FIN CTR	0	Office.ContractingOfficeCode
W916YB	W0H9 FDD RASM-E FT DRUM	1	W0H9 AMCOM AVN RESET SAMS1	0	Office.ContractingOfficeCode
W9179G	W0VP DEPT OF DISTANCE ED (DDE)	1	W0VP SCH OF ADV DIST LEARN	0	Office.ContractingOfficeCode
W917AD	HHC, 3D BRIGADE COMBAT TEAM, 25TH I	1	0025 IN HHC 03 HEADQUARTERS IN	0	Office.ContractingOfficeCode
W917DP	ARNG STAFF ELEMENT, JOINT FORCE HEA	1	0216 EN BN     HVY	0	Office.ContractingOfficeCode
W917SN	W4QV ADELPHI LAB	1	W6KK USA GARRISON ADELPHI	0	Office.ContractingOfficeCode
W9180L	W90M GUAM REC & RET	1	W90M GUAM REC  RET	0	Office.ContractingOfficeCode
W918DU	HHBN, 42D INFANTRY DIVISION	1	0042 IN HQ     DIV	0	Office.ContractingOfficeCode
W918RS	HHB, 263D ARMY AIR AND MISSILE DEFE	1	0263 AD CMD    ARMY AIR  MSL	0	Office.ContractingOfficeCode
W918XQ	59TH TROOP COMMAND	1	W793 59TH TRP CMD	0	Office.ContractingOfficeCode
W918YH	724TH ENGINEER BATTALION	1	NULL	0	Office.ContractingOfficeCode
W9192D	0506 IN BN  01 CO D WEAPONS CO	1	NULL	0	Office.ContractingOfficeCode
W9193H	UNITED STATES ARMY GARRISON, FORT P	1	W0VF FT POLK GARRISON CMD	0	Office.ContractingOfficeCode
W919AE	0135 CS HHC    HHC EXPEDITIONA	1	2101 TC CO     MDM TRK	0	Office.ContractingOfficeCode
W91A2C	W6AP DCS, G-8 HRC SUPPORT	1	W6AP OFC DEP CHIEF STAFF, G-8	1	Office.ContractingOfficeCode
W91A2U	W12K JBLM LEWIS  RSO	1	W12K I CORPS CHAPLAIN	0	Office.ContractingOfficeCode
W91A63	USA PROGRAM EXECUTIVE OFFICE, AVIAT	1	W6DQ 01 PEO AVN	0	Office.ContractingOfficeCode
W91AFN	W6X9 USALRCTR FT MCCOY	1	W0XY SUPPLY DIV	0	Office.ContractingOfficeCode
W91ALU	W0U9 AV MAINT CONT AH-64DE	1	W0U9 AV MAINT HANCHEY (AV)	0	Office.ContractingOfficeCode
W91AR5	USA CCDC ARMAMENTS CENTER	1	W4MK ARMAMENT RDEC	0	Office.ContractingOfficeCode
W91AS5	W8ZE MO ARNG MED DET	1	MISSOURI MEDICAL DETACHMENT	0	Office.ContractingOfficeCode
W91ATL	USA CCDC GROUND VEHICLE SYSTEMS CEN	1	W4GH TANK-AUTOMOTIVE RDEC	0	Office.ContractingOfficeCode
W91B8Z	35TH INFANTRY DIVISION BAND	1	NULL	0	Office.ContractingOfficeCode
W91B94	USA CCDC CHEMICAL BIOLOGICAL CENTER	1	W6JR EDGEWOOD CHEM BIO CENTER	0	Office.ContractingOfficeCode
W91BE6	W6FM USAG BAVARIA	1	W6FM USAG GRAFENWOEHR	0	Office.ContractingOfficeCode
W91BJE	W6Y5 USALRCTR ITALY	1	W6E7 USAG VICENZA	0	Office.ContractingOfficeCode
W91BL0	USA REGIONAL MAINTENANCE TRAINING S	1	W1JA USA RTS MAINT DEVENS RFTA	0	Office.ContractingOfficeCode
W91BYD	HHC, 93D SIGNAL BRIGADE	1	0093 SC HHC    HHC STRAT SIG B	0	Office.ContractingOfficeCode
W91C7Q	HHC, 22D CHEMICAL BATTALION	1	0022 CM HHC    HHC CBRN BN	0	Office.ContractingOfficeCode
W91C8Z	HQ, 94TH TRAINING DIVISION	1	W8CP 0094 TNG DIVISION HQ	0	Office.ContractingOfficeCode
W91CNY	US ARMY FUTURES AND CONCEPTS CENTER	1	W3U2 ARCIC CENTER	0	Office.ContractingOfficeCode
W91CPD	PRM130 EN CO     AUG CARRIER	1	NULL	0	Office.ContractingOfficeCode
W91CPN	W0MB USA PUEBLO CHEMICAL DEPOT	1	XU W0MB USA PUEBLO CHEMICAL DEPOT	0	Office.ContractingOfficeCode
W91CPT	CCDC HEADQUARTERS	1	W6EY USA RES DEV ENGR CMD	0	Office.ContractingOfficeCode
W91CRE	W6WT USALRCTR ABERDEEN P	1	W4QV STK REC ACT AMMO MISSION	0	Office.ContractingOfficeCode
W91CRG	HHC, COMBAT AVIATION BRIGADE, 35TH	1	0135 AV HHC 03 THEATER	0	Office.ContractingOfficeCode
W91D12	ARNG STAFF ELEMENT, JOINT FORCE HEA	1	W8A4 MEARNG ELEMENT, JF HQ	0	Office.ContractingOfficeCode
